		B-Baseline
280.572	147.293	77.08892394346532
282.39	152.141	81.9369239434653
284.208	158.202	87.99792394346531
286.023	162.626	92.42192394346532
287.84	168.788	98.58392394346532
289.657	177.778	107.5739239434653
291.471	189.374	119.1699239434653
293.287	196.566	126.36192394346531
295.103	202.99	132.78592394346532
296.916	202.202	131.9979239434653
298.729	199.798	129.5939239434653
300.543	194.667	124.46292394346531
302.355	188.525	118.32092394346532
304.167	186.283	116.0789239434653
305.979	184.02	113.81592394346532
307.792	188.0	117.79592394346531
309.602	189.495	119.29092394346532
311.413	184.404	114.19992394346531
313.223	181.273	111.06892394346531
315.032	176.848	106.64392394346532
316.84	175.293	105.08892394346532
318.648	176.748	106.5439239434653
320.457	184.646	114.4419239434653
322.265	193.434	123.22992394346531
324.071	206.121	135.91692394346532
325.878	221.879	151.6749239434653
327.684	241.859	171.65492394346532
329.49	262.444	192.23992394346533
331.295	289.798	219.5939239434653
333.099	312.667	242.46292394346528
334.904	347.838	277.63392394346533
336.708	385.03	314.8259239434653
338.511	425.111	354.9069239434653
340.313	449.879	379.67492394346533
342.116	462.566	392.3619239434653
343.917	447.879	377.67492394346533
345.719	422.99	352.7859239434653
347.52	381.677	311.47292394346533
349.321	350.364	280.1599239434653
351.121	330.323	260.1189239434653
352.92	329.434	259.22992394346534
354.719	343.798	273.5939239434653
356.519	377.354	307.1499239434653
358.316	420.02	349.8159239434653
360.115	468.99	398.7859239434653
361.911	497.616	427.4119239434653
363.707	503.232	433.02792394346534
365.504	480.788	410.5839239434653
367.3	436.121	365.9169239434653
369.095	376.02	305.8159239434653
370.889	319.939	249.73492394346533
372.683	273.455	203.2509239434653
374.477	238.303	168.0989239434653
376.271	214.141	143.9369239434653
378.064	198.566	128.3619239434653
379.857	186.061	115.85692394346532
381.649	175.515	105.3109239434653
383.439	170.101	99.89692394346531
385.231	165.717	95.51292394346532
387.022	161.758	91.55392394346532
388.811	158.343	88.1389239434653
390.602	158.485	88.28092394346533
392.39	156.525	86.32092394346532
394.178	157.333	87.12892394346531
395.968	163.152	92.9479239434653
397.755	168.04	97.8359239434653
399.542	176.141	105.9369239434653
401.329	186.727	116.52292394346532
403.115	202.687	132.48292394346532
404.901	214.606	144.4019239434653
406.686	231.758	161.55392394346532
408.472	252.101	181.8969239434653
410.256	277.333	207.12892394346534
412.041	306.97	236.76592394346534
413.823	349.495	279.2909239434653
415.607	389.273	319.06892394346534
417.39	423.657	353.4529239434653
419.171	437.879	367.67492394346533
420.954	429.172	358.96792394346534
422.734	406.323	336.1189239434653
424.514	378.747	308.5429239434653
426.296	352.606	282.4019239434653
428.075	351.172	280.96792394346534
429.854	370.848	300.6439239434653
431.633	404.97	334.76592394346534
433.411	432.323	362.1189239434653
435.189	444.121	373.9169239434653
436.967	439.172	368.96792394346534
438.744	402.04	331.83592394346533
440.521	352.424	282.2199239434653
442.295	304.182	233.97792394346533
444.072	261.071	190.86692394346534
445.848	234.182	163.9779239434653
447.621	215.333	145.1289239434653
449.396	206.182	135.9779239434653
451.169	199.232	129.0279239434653
452.944	196.586	126.38192394346532
454.716	202.727	132.52292394346532
456.487	213.98	143.7759239434653
458.259	231.495	161.29092394346532
460.03	248.424	178.21992394346532
461.803	266.545	196.34092394346533
463.573	286.586	216.38192394346532
465.343	292.646	222.44192394346533
467.111	284.828	214.6239239434653
468.88	271.778	201.57392394346533
470.649	249.98	179.7759239434653
472.418	228.667	158.4629239434653
474.184	217.293	147.08892394346532
475.952	211.535	141.3309239434653
477.718	212.99	142.78592394346532
479.485	212.606	142.4019239434653
481.25	209.758	139.55392394346532
483.017	209.535	139.3309239434653
484.781	204.949	134.74492394346532
486.545	203.354	133.14992394346532
488.308	200.404	130.1999239434653
490.072	193.556	123.35192394346532
491.835	181.919	111.71492394346532
493.597	170.566	100.36192394346531
495.359	158.667	88.46292394346531
497.121	149.535	79.33092394346531
498.883	142.768	72.56392394346531
500.644	133.576	63.371923943465305
502.403	129.273	59.06892394346531
504.163	124.667	54.46292394346531
505.921	122.444	52.239923943465314
507.681	119.232	49.02792394346531
509.439	117.576	47.371923943465305
511.198	115.131	44.92692394346531
512.955	110.525	40.32092394346532
514.711	109.091	38.886923943465305
516.467	109.939	39.734923943465304
518.223	109.051	38.84692394346531
519.978	108.97	38.76592394346531
521.733	107.636	37.43192394346531
523.488	106.323	36.118923943465305
