		B-Baseline
521.733	238.97	-14.451302391084766
523.488	238.283	-15.138302391084778
525.243	239.111	-14.310302391084775
526.997	238.646	-14.775302391084779
528.75	239.818	-13.603302391084753
530.502	239.515	-13.906302391084779
532.255	242.061	-11.360302391084758
534.006	243.717	-9.704302391084752
535.758	240.141	-13.280302391084774
537.508	240.687	-12.734302391084753
539.26	241.313	-12.108302391084777
541.009	242.606	-10.81530239108477
542.758	240.04	-13.381302391084773
544.507	243.899	-9.522302391084764
546.255	245.455	-7.966302391084753
548.003	247.434	-5.987302391084768
549.751	251.434	-1.9873023910847678
551.498	255.172	1.7506976089152317
553.245	256.323	2.9016976089152138
554.992	261.798	8.376697608915237
556.738	266.404	12.982697608915231
558.482	271.495	18.07369760891524
560.228	276.424	23.002697608915213
561.971	280.566	27.14469760891521
563.716	288.444	35.02269760891525
565.459	291.939	38.517697608915256
567.201	301.899	48.477697608915236
568.945	307.515	54.09369760891522
570.687	312.889	59.467697608915245
572.428	318.768	65.3466976089152
574.169	319.697	66.27569760891524
575.91	315.859	62.437697608915215
577.65	310.02	56.59869760891522
579.39	299.05	45.628697608915246
581.13	290.747	37.32569760891525
582.867	281.556	28.134697608915218
584.606	274.222	20.800697608915215
586.345	273.01	19.588697608915226
588.081	265.374	11.952697608915258
589.819	262.727	9.30569760891521
591.555	257.96	4.538697608915214
593.29	257.515	4.093697608915221
595.027	253.596	0.17469760891523833
596.762	248.121	-5.300302391084756
598.496	247.455	-5.966302391084753
600.23	247.515	-5.906302391084779
601.964	246.929	-6.492302391084763
603.697	247.677	-5.744302391084773
605.43	247.293	-6.128302391084759
607.163	248.04	-5.381302391084773
608.895	250.162	-3.259302391084759
610.625	251.111	-2.3103023910847753
612.357	251.111	-2.3103023910847753
614.088	253.838	0.41669760891522856
615.817	249.98	-3.4413023910847755
617.548	246.788	-6.633302391084754
619.276	244.384	-9.03730239108478
621.004	242.182	-11.239302391084777
622.732	243.03	-10.391302391084764
624.461	240.768	-12.653302391084765
626.188	240.99	-12.431302391084756
627.915	240.0	-13.421302391084765
629.641	240.566	-12.855302391084763
631.367	243.838	-9.583302391084771
633.093	245.374	-8.04730239108477
634.817	246.081	-7.3403023910847764
636.542	245.677	-7.744302391084773
638.266	243.96	-9.461302391084757
639.989	245.394	-8.02730239108476
641.713	241.414	-12.007302391084778
643.435	241.293	-12.128302391084759
645.158	240.343	-13.078302391084776
646.879	242.02	-11.401302391084755
648.6	243.454	-9.967302391084758
650.32	243.071	-10.350302391084767
652.04	245.556	-7.865302391084754
653.76	246.121	-7.300302391084756
655.48	244.97	-8.451302391084766
657.199	245.071	-8.350302391084767
658.917	243.253	-10.16830239108478
660.636	241.636	-11.78530239108477
662.354	242.404	-11.017302391084769
664.07	238.364	-15.057302391084761
665.787	237.354	-16.067302391084752
667.503	238.424	-14.997302391084759
669.219	236.707	-16.71430239108477
670.934	237.636	-15.78530239108477
672.65	236.889	-16.532302391084755
674.364	235.434	-17.987302391084768
676.078	236.283	-17.13830239108478
677.791	235.333	-18.088302391084767
679.504	235.697	-17.724302391084763
681.216	233.192	-20.229302391084758
