,,B-Baseline
220.314,167.778,100.40868324663003
222.146,157.252,89.88268324663005
223.98,143.273,75.90368324663004
225.814,134.586,67.21668324663005
227.645,128.687,61.317683246630054
229.477,128.101,60.73168324663004
231.308,128.0,60.63068324663004
233.14,132.02,64.65068324663005
234.969,135.677,68.30768324663003
236.798,140.929,73.55968324663004
238.627,146.222,78.85268324663005
240.458,146.889,79.51968324663005
242.286,145.636,78.26668324663004
244.114,143.677,76.30768324663003
245.941,137.879,70.50968324663003
247.768,132.929,65.55968324663004
249.595,130.101,62.73168324663004
251.421,128.606,61.23668324663004
253.245,131.232,63.86268324663004
255.07,130.04,62.670683246630034
256.896,132.0,64.63068324663004
258.718,133.414,66.04468324663003
260.543,133.071,65.70168324663004
262.367,130.788,63.41868324663005
264.189,128.343,60.97368324663003
266.01,126.222,58.852683246630036
267.833,122.606,55.23668324663004
269.654,121.475,54.105683246630036
271.474,120.626,53.25668324663005
273.296,121.071,53.70168324663004
275.116,125.556,58.18668324663004
276.935,129.657,62.28768324663005
278.754,136.444,69.07468324663003
280.572,146.97,79.60068324663004
282.39,153.879,86.50968324663003
284.208,161.192,93.82268324663005
286.023,165.697,98.32768324663004
287.84,169.05,101.68068324663005
289.657,172.384,105.01468324663003
291.471,176.343,108.97368324663003
293.287,184.545,117.17568324663003
295.103,189.556,122.18668324663005
296.916,186.465,119.09568324663005
298.729,180.222,112.85268324663005
300.543,169.535,102.16568324663004
302.355,165.01,97.64068324663003
304.167,165.051,97.68168324663003
305.979,166.667,99.29768324663004
307.792,173.212,105.84268324663003
309.602,177.192,109.82268324663005
311.413,179.111,111.74168324663003
313.223,175.859,108.48968324663005
315.032,171.939,104.56968324663004
316.84,170.101,102.73168324663004
318.648,170.061,102.69168324663005
320.457,174.929,107.55968324663004
322.265,186.545,119.17568324663003
324.071,199.838,132.46868324663004
325.878,217.152,149.78268324663003
327.684,235.899,168.52968324663004
329.49,254.384,187.01468324663003
331.295,265.919,198.54968324663002
333.099,280.424,213.05468324663002
334.904,294.182,226.81268324663006
336.708,315.313,247.94368324663003
338.511,336.828,269.45868324663
340.313,360.687,293.31768324663005
342.116,376.687,309.31768324663005
343.917,369.535,302.16568324663007
345.719,352.788,285.41868324663005
347.52,324.101,256.73168324663004
349.321,290.04,222.67068324663006
351.121,266.101,198.73168324663004
