,,A-Baseline,B-Baseline
1182.42,116.687,1182.42,49.31768324663004
1183.99,124.465,1183.99,57.095683246630045
1185.57,132.727,1185.57,65.35768324663005
1187.14,142.121,1187.14,74.75168324663005
1188.72,147.071,1188.72,79.70168324663004
1190.29,145.697,1190.29,78.32768324663004
1191.86,143.313,1191.86,75.94368324663003
1193.43,137.859,1193.43,70.48968324663005
1195.01,131.354,1195.01,63.984683246630055
1196.58,127.798,1196.58,60.428683246630044
1198.15,127.434,1198.15,60.06468324663004
1199.72,128.323,1199.72,60.95368324663005
1201.29,127.071,1201.29,59.70168324663004
1202.86,128.667,1202.86,61.297683246630044
1204.43,131.939,1204.43,64.56968324663004
1206.0,135.737,1206.0,68.36768324663004
1207.57,136.99,1207.57,69.62068324663005
1209.14,140.747,1209.14,73.37768324663006
1210.7,142.424,1210.7,75.05468324663005
1212.27,141.556,1212.27,74.18668324663005
1213.84,141.192,1213.84,73.82268324663005
1215.4,138.667,1215.4,71.29768324663004
1216.97,136.242,1216.97,68.87268324663003
1218.53,134.707,1218.53,67.33768324663004
1220.1,131.939,1220.1,64.56968324663004
1221.66,130.424,1221.66,63.05468324663005
1223.23,124.364,1223.23,56.994683246630046
1224.79,121.131,1224.79,53.76168324663004
1226.35,115.657,1226.35,48.28768324663004
1227.92,110.869,1227.92,43.49968324663004
1229.48,107.354,1229.48,39.98468324663004
1231.04,105.01,1231.04,37.64068324663005
1232.6,103.293,1232.6,35.92368324663005
1234.16,103.636,1234.16,36.26668324663004
1235.73,102.424,1235.73,35.05468324663005
1237.29,105.455,1237.29,38.08568324663004
1238.85,107.515,1238.85,40.14568324663004
1240.4,113.051,1240.4,45.681683246630044
1241.96,122.566,1241.96,55.196683246630045
1243.52,134.323,1243.52,66.95368324663005
1245.08,147.515,1245.08,80.14568324663003
1246.64,161.111,1246.64,93.74168324663003
1248.19,176.97,1248.19,109.60068324663004
1249.75,190.606,1249.75,123.23668324663004
1251.31,203.596,1251.31,136.22668324663005
1252.86,213.131,1252.86,145.76168324663004
1254.42,218.788,1254.42,151.41868324663005
1255.97,223.879,1255.97,156.50968324663003
1257.53,218.626,1257.53,151.25668324663005
1259.08,210.747,1259.08,143.37768324663006
1260.64,193.98,1260.64,126.61068324663003
1262.19,175.313,1262.19,107.94368324663003
1263.74,157.232,1263.74,89.86268324663004
1265.29,142.586,1265.29,75.21668324663005
1266.85,131.252,1266.85,63.88268324663005
1268.4,122.869,1268.4,55.49968324663004
1269.95,118.162,1269.95,50.79268324663005
1271.5,114.384,1271.5,47.01468324663004
1273.05,112.0,1273.05,44.63068324663004
1274.6,116.586,1274.6,49.21668324663004
1276.15,118.949,1276.15,51.57968324663004
1277.7,123.475,1277.7,56.105683246630036
1279.25,132.424,1279.25,65.05468324663005
1280.79,139.071,1280.79,71.70168324663004
1282.34,146.606,1282.34,79.23668324663004
1283.89,152.343,1283.89,84.97368324663003
1285.43,157.111,1285.43,89.74168324663003
1286.98,161.899,1286.98,94.52968324663004
1288.53,160.04,1288.53,92.67068324663003
1290.07,160.768,1290.07,93.39868324663004
1291.62,161.333,1291.62,93.96368324663004
1293.16,163.111,1293.16,95.74168324663003
1294.71,168.727,1294.71,101.35768324663005
1296.25,172.566,1296.25,105.19668324663004
1297.79,179.576,1297.79,112.20668324663004
1299.34,186.768,1299.34,119.39868324663004
1300.88,190.626,1300.88,123.25668324663005
1302.42,199.131,1302.42,131.76168324663004
1303.96,212.97,1303.96,145.60068324663004
1305.5,227.556,1305.5,160.18668324663005
1307.04,239.818,1307.04,172.44868324663005
1308.58,248.424,1308.58,181.05468324663005
1310.12,244.747,1310.12,177.37768324663006
1311.66,232.162,1311.66,164.79268324663005
1313.2,215.293,1313.2,147.92368324663005
1314.74,198.768,1314.74,131.39868324663004
1316.28,188.384,1316.28,121.01468324663003
1317.81,181.677,1317.81,114.30768324663003
1319.35,174.04,1319.35,106.67068324663003
1320.89,170.646,1320.89,103.27668324663003
1322.42,169.737,1322.42,102.36768324663004
1323.96,171.394,1323.96,104.02468324663005
1325.5,177.939,1325.5,110.56968324663004
1327.03,186.586,1327.03,119.21668324663005
1328.56,200.727,1328.56,133.35768324663005
1330.1,213.556,1330.1,146.18668324663005
1331.63,227.576,1331.63,160.20668324663004
1333.17,241.697,1333.17,174.32768324663004
1334.7,251.879,1334.7,184.50968324663003
1336.23,258.505,1336.23,191.13568324663004
1337.76,260.121,1337.76,192.75168324663002
1339.3,259.737,1339.3,192.36768324663007
1340.83,257.737,1340.83,190.36768324663007
1342.36,260.061,1342.36,192.69168324663002
1343.89,261.535,1343.89,194.16568324663007
1345.42,266.121,1345.42,198.75168324663002
1346.95,276.242,1346.95,208.87268324663006
1348.48,286.101,1348.48,218.73168324663004
1350.0,296.586,1350.0,229.21668324663005
1351.53,304.748,1351.53,237.37868324663003
1353.06,314.929,1353.06,247.55968324663002
1354.59,327.535,1354.59,260.16568324663007
1356.11,332.889,1356.11,265.51968324663005
1357.64,333.899,1357.64,266.52968324663004
1359.17,327.96,1359.17,260.59068324663
1360.69,316.202,1360.69,248.83268324663004
1362.22,307.354,1362.22,239.98468324663003
1363.74,289.939,1363.74,222.56968324663006
1365.26,279.434,1365.26,212.06468324663007
1366.79,274.727,1366.79,207.35768324663002
1368.31,280.0,1368.31,212.63068324663004
1369.83,291.212,1369.83,223.84268324663003
1371.36,310.687,1371.36,243.31768324663005
1372.88,325.01,1372.88,257.64068324663003
1374.4,329.394,1374.4,262.02468324663005
1375.92,326.081,1375.92,258.71168324663006
1377.44,313.939,1377.44,246.56968324663006
1378.96,285.758,1378.96,218.38868324663002
1380.48,260.424,1380.48,193.05468324663002
1382.0,238.828,1382.0,171.45868324663005
1383.52,219.313,1383.52,151.94368324663003
1385.04,210.0,1385.04,142.63068324663004
1386.56,197.899,1386.56,130.52968324663004
1388.07,191.576,1388.07,124.20668324663004
1389.59,186.162,1389.59,118.79268324663005
1391.11,181.899,1391.11,114.52968324663004
1392.62,181.717,1392.62,114.34768324663006
1394.14,180.788,1394.14,113.41868324663005
1395.66,182.646,1395.66,115.27668324663003
1397.17,185.616,1397.17,118.24668324663006
1398.69,191.879,1398.69,124.50968324663003
1400.2,201.455,1400.2,134.08568324663005
1401.71,208.283,1401.71,140.91368324663003
1403.23,216.97,1403.23,149.60068324663004
1404.74,222.97,1404.74,155.60068324663004
1406.25,228.121,1406.25,160.75168324663005
1407.76,231.818,1407.76,164.44868324663005
1409.28,237.758,1409.28,170.38868324663005
1410.79,241.495,1410.79,174.12568324663005
1412.3,245.152,1412.3,177.78268324663003
1413.81,241.818,1413.81,174.44868324663005
1415.32,235.374,1415.32,168.00468324663004
1416.83,226.646,1416.83,159.27668324663003
1418.34,213.576,1418.34,146.20668324663004
1419.84,200.182,1419.84,132.81268324663003
1421.35,185.859,1421.35,118.48968324663005
1422.86,177.778,1422.86,110.40868324663003
1424.37,166.202,1424.37,98.83268324663004
1425.88,154.95,1425.88,87.58068324663003
1427.38,145.172,1427.38,77.80268324663004
1428.89,138.242,1428.89,70.87268324663003
1430.39,130.424,1430.39,63.05468324663005
1431.9,124.808,1431.9,57.43868324663005
1433.4,118.586,1433.4,51.21668324663004
1434.91,115.333,1434.91,47.96368324663004
1436.41,114.465,1436.41,47.095683246630045
1437.92,113.677,1437.92,46.30768324663005
1439.42,114.747,1439.42,47.37768324663004
1440.92,119.394,1440.92,52.02468324663005
1442.42,124.141,1442.42,56.77168324663005
1443.92,136.849,1443.92,69.47968324663003
1445.43,154.101,1445.43,86.73168324663004
1446.93,179.717,1446.93,112.34768324663006
1448.43,216.869,1448.43,149.49968324663004
1449.93,256.667,1449.93,189.29768324663002
1451.43,296.182,1451.43,228.81268324663006
1452.93,318.202,1452.93,250.83268324663004
1454.43,319.071,1454.43,251.70168324663007
1455.92,300.545,1455.92,233.17568324663006
1457.42,266.242,1457.42,198.87268324663006
1458.92,227.091,1458.92,159.72168324663005
1460.42,190.141,1460.42,122.77168324663003
1461.91,160.646,1461.91,93.27668324663003
1463.41,138.788,1463.41,71.41868324663005
1464.91,124.101,1464.91,56.73168324663004
1466.4,111.515,1466.4,44.14568324663004
1467.9,103.495,1467.9,36.12568324663005
1469.39,98.1818,1469.39,30.812483246630038
1470.88,92.8889,1470.88,25.51958324663005
1472.38,89.0707,1472.38,21.701383246630044
1473.87,85.9798,1473.87,18.61048324663004
1475.36,83.7374,1475.36,16.368083246630036
1476.86,82.4242,1476.86,15.054883246630041
1478.35,80.6465,1478.35,13.277183246630045
1479.84,78.0404,1479.84,10.671083246630047
1481.33,77.596,1481.33,10.226683246630046
1482.82,77.2929,1482.82,9.923583246630045
1484.31,74.5858,1484.31,7.216483246630048
1485.8,72.9697,1485.8,5.600383246630045
1487.29,72.0,1487.29,4.630683246630042
1488.78,69.7576,1488.78,2.3882832466300385
1490.27,67.5151,1490.27,0.14578324663004594
1491.76,66.9091,1491.76,-0.4602167533699628
1493.24,65.8182,1493.24,-1.5511167533699535
1494.73,63.8788,1494.73,-3.4905167533699597
1496.22,62.9091,1496.22,-4.460216753369956
1497.71,61.7778,1497.71,-5.591516753369959
1499.19,61.3333,1499.19,-6.036016753369957
1500.68,60.6263,1500.68,-6.743016753369957
1502.16,60.4848,1502.16,-6.884516753369958
1503.65,58.8687,1503.65,-8.500616753369961
1505.13,58.5253,1505.13,-8.844016753369957
1506.62,57.9394,1506.62,-9.429916753369959
1508.1,58.3838,1508.1,-8.985516753369957
1509.58,58.3232,1509.58,-9.046116753369958
1511.06,56.9697,1511.06,-10.399616753369955
1512.55,56.0202,1512.55,-11.349116753369955
1514.03,56.7273,1514.03,-10.642016753369958
1515.51,55.7374,1515.51,-11.631916753369957
1516.99,57.2727,1516.99,-10.096616753369958
1518.47,56.9091,1518.47,-10.460216753369956
1519.95,56.7273,1519.95,-10.642016753369958
1521.43,56.9899,1521.43,-10.37941675336996
1522.91,56.5253,1522.91,-10.844016753369957
1524.39,56.7475,1524.39,-10.621816753369956
1525.87,56.404,1525.87,-10.965316753369954
1527.34,54.8081,1527.34,-12.561216753369955
1528.82,54.8283,1528.82,-12.54101675336996
1530.3,54.0404,1530.3,-13.32891675336996
1531.77,54.0808,1531.77,-13.288516753369954
1533.25,53.0303,1533.25,-14.339016753369961
1534.73,52.8283,1534.73,-14.54101675336996
1536.2,53.2929,1536.2,-14.076416753369955
1537.68,54.202,1537.68,-13.16731675336996
1539.15,53.6364,1539.15,-13.732916753369956
1540.63,53.0303,1540.63,-14.339016753369961
1542.1,52.7677,1542.1,-14.60161675336996
1543.57,53.7374,1543.57,-13.631916753369957
1545.05,52.8687,1545.05,-14.500616753369961
1546.52,53.0505,1546.52,-14.318816753369958
1547.99,54.0404,1547.99,-13.32891675336996
1549.46,52.3232,1549.46,-15.046116753369958
1550.93,53.0505,1550.93,-14.318816753369958
1552.4,53.3131,1552.4,-14.05621675336996
1553.87,53.1111,1553.87,-14.258216753369958
1555.34,52.4444,1555.34,-14.924916753369956
1556.81,52.6061,1556.81,-14.76321675336996
1558.28,52.2828,1558.28,-15.086516753369956
1559.75,53.0303,1559.75,-14.339016753369961
1561.22,53.0909,1561.22,-14.27841675336996
1562.69,51.4141,1562.69,-15.95521675336996
1564.15,51.6364,1564.15,-15.732916753369956
1565.62,53.2121,1565.62,-14.157216753369958
1567.09,50.5454,1567.09,-16.823916753369957
1568.55,51.7172,1568.55,-15.65211675336996
1570.02,51.9394,1570.02,-15.429916753369959
1571.48,51.4949,1571.48,-15.874416753369957
1572.95,51.7778,1572.95,-15.591516753369959
1574.41,51.697,1574.41,-15.672316753369955
1575.88,51.0505,1575.88,-16.31881675336996
1577.34,50.8889,1577.34,-16.48041675336996
1578.8,51.9394,1578.8,-15.429916753369959
1580.27,50.0202,1580.27,-17.349116753369955
1581.73,51.7576,1581.73,-15.611716753369961
1583.19,50.6667,1583.19,-16.70261675336996
1584.65,51.0909,1584.65,-16.27841675336996
1586.11,51.2121,1586.11,-16.15721675336996
1587.57,51.3939,1587.57,-15.975416753369956
1589.03,50.8485,1589.03,-16.520816753369957
1590.49,50.7677,1590.49,-16.60161675336996
1591.95,50.5252,1591.95,-16.84411675336996
1593.41,51.6566,1593.41,-15.71271675336996
1594.87,50.7071,1594.87,-16.66221675336996
1596.33,50.8687,1596.33,-16.50061675336996
1597.79,50.7475,1597.79,-16.621816753369956
1599.24,51.2121,1599.24,-16.15721675336996
1600.7,50.404,1600.7,-16.965316753369954
1602.16,50.6667,1602.16,-16.70261675336996
1603.61,51.5758,1603.61,-15.793516753369957
1605.07,51.1717,1605.07,-16.197616753369957
1606.52,51.0505,1606.52,-16.31881675336996
1607.98,50.7677,1607.98,-16.60161675336996
1609.43,50.8081,1609.43,-16.561216753369955
1610.89,50.3232,1610.89,-17.046116753369958
1612.34,51.0909,1612.34,-16.27841675336996
1613.79,50.5252,1613.79,-16.84411675336996
1615.25,50.5455,1615.25,-16.82381675336996
1616.7,50.3838,1616.7,-16.985516753369957
1618.15,49.596,1618.15,-17.77331675336996
1619.6,50.8283,1619.6,-16.54101675336996
1621.05,50.9495,1621.05,-16.419816753369957
1622.5,50.6263,1622.5,-16.743016753369957
1623.95,50.8889,1623.95,-16.48041675336996
1625.4,49.899,1625.4,-17.470316753369957
1626.85,50.0,1626.85,-17.369316753369958
1628.3,50.101,1628.3,-17.26831675336996
1629.75,49.5354,1629.75,-17.833916753369955
1631.19,49.7172,1631.19,-17.65211675336996
1632.64,49.798,1632.64,-17.571316753369956
1634.09,49.8788,1634.09,-17.49051675336996
1635.54,50.9091,1635.54,-16.460216753369956
1636.98,49.899,1636.98,-17.470316753369957
1638.43,50.6667,1638.43,-16.70261675336996
1639.87,50.0808,1639.87,-17.288516753369954
1641.32,49.899,1641.32,-17.470316753369957
1642.76,49.6162,1642.76,-17.75311675336996
1644.21,51.2929,1644.21,-16.076416753369955
1645.65,50.8081,1645.65,-16.561216753369955
1647.09,50.5657,1647.09,-16.80361675336996
1648.54,49.7172,1648.54,-17.65211675336996
1649.98,50.2222,1649.98,-17.147116753369957
1651.42,50.4646,1651.42,-16.90471675336996
1652.86,50.6869,1652.86,-16.682416753369957
1654.31,50.4646,1654.31,-16.90471675336996
1655.75,50.7273,1655.75,-16.64201675336996
1657.19,50.5859,1657.19,-16.783416753369956
1658.63,50.0202,1658.63,-17.349116753369955
1660.07,51.7172,1660.07,-15.65211675336996
1661.5,49.6566,1661.5,-17.71271675336996
1662.94,50.2626,1662.94,-17.10671675336996
1664.38,49.8586,1664.38,-17.510716753369955
1665.82,49.899,1665.82,-17.470316753369957
1667.26,50.1818,1667.26,-17.187516753369955
1668.69,51.4748,1668.69,-15.894516753369956
1670.13,50.7879,1670.13,-16.581416753369957
1671.57,49.6566,1671.57,-17.71271675336996
1673.0,50.8889,1673.0,-16.48041675336996
1674.44,50.4646,1674.44,-16.90471675336996
1675.87,49.4747,1675.87,-17.89461675336996
1677.31,50.101,1677.31,-17.26831675336996
1678.74,50.7273,1678.74,-16.64201675336996
1680.18,50.8081,1680.18,-16.561216753369955
1681.61,50.2424,1681.61,-17.126916753369954
1683.04,50.4849,1683.04,-16.884416753369955
1684.47,50.0606,1684.47,-17.308716753369957
1685.91,50.101,1685.91,-17.26831675336996
1687.34,49.7576,1687.34,-17.61171675336996
1688.77,49.2929,1688.77,-18.076416753369955
1690.2,50.4444,1690.2,-16.924916753369956
