,,A-Baseline,B-Baseline
676.078,78.9697,676.078,11.600383246630045
677.791,76.6061,677.791,9.23678324663004
679.504,75.4747,679.504,8.10538324663004
681.216,74.7677,681.216,7.398383246630047
682.929,72.5859,682.929,5.216583246630037
684.641,74.2626,684.641,6.893283246630048
686.352,72.404,686.352,5.034683246630038
688.061,71.7374,688.061,4.368083246630036
689.772,71.697,689.772,4.327683246630045
691.483,71.5556,691.483,4.18628324663004
693.191,72.3232,693.191,4.953883246630042
694.899,71.5151,694.899,4.145783246630046
696.609,69.9192,696.609,2.5498832466300456
698.316,71.4747,698.316,4.105383246630041
700.023,71.3131,700.023,3.9437832466300478
701.732,72.2626,701.732,4.893283246630048
703.438,72.2626,703.438,4.893283246630048
705.144,72.8485,705.144,5.479183246630043
706.85,71.6161,706.85,4.246783246630045
708.554,72.9899,708.554,5.620583246630048
710.259,71.5151,710.259,4.145783246630046
711.964,72.2424,711.964,4.8730832466300456
713.668,73.8182,713.668,6.4488832466300465
715.37,73.9596,715.37,6.590283246630037
717.074,71.5758,717.074,4.206483246630043
718.775,73.6566,718.775,6.2872832466300395
720.479,73.6161,720.479,6.246783246630045
722.179,75.7374,722.179,8.368083246630036
723.88,76.4242,723.88,9.054883246630041
725.582,76.5051,725.582,9.13578324663004
727.282,76.2424,727.282,8.873083246630046
728.982,76.2626,728.982,8.893283246630048
730.681,77.596,730.681,10.226683246630046
732.38,77.7172,732.38,10.347883246630047
734.076,77.6768,734.076,10.307483246630042
735.775,77.3535,735.775,9.984183246630039
737.473,76.8283,737.473,9.45898324663004
739.17,76.5859,739.17,9.216583246630037
740.866,76.5051,740.866,9.13578324663004
742.563,75.1313,742.563,7.761983246630038
744.257,76.0808,744.257,8.711483246630038
745.954,75.8384,745.954,8.469083246630035
747.648,73.8182,747.648,6.4488832466300465
749.342,73.798,749.342,6.428683246630044
751.035,72.4646,751.035,5.095283246630046
752.728,72.3838,752.728,5.014483246630036
754.421,71.9192,754.421,4.549883246630046
756.113,71.9394,756.113,4.570083246630048
757.806,72.4444,757.806,5.075083246630044
759.497,71.1313,759.497,3.761983246630038
761.189,69.6162,761.189,2.2468832466300483
762.878,69.5354,762.878,2.1660832466300377
764.569,71.2525,764.569,3.8831832466300398
766.258,70.5858,766.258,3.216483246630048
767.948,70.7272,767.948,3.3578832466300383
769.636,69.8384,769.636,2.469083246630035
771.326,71.0505,771.326,3.6811832466300416
773.013,71.8182,773.013,4.4488832466300465
774.7,73.596,774.7,6.226683246630046
776.387,74.3232,776.387,6.953883246630042
778.073,75.0101,778.073,7.640783246630036
779.759,74.8485,779.759,7.479183246630043
781.445,74.2828,781.445,6.913483246630037
783.13,73.5353,783.13,6.165983246630049
784.815,73.1515,784.815,5.782183246630041
786.498,72.6263,786.498,5.256983246630043
788.183,71.2929,788.183,3.923583246630045
789.867,71.0707,789.867,3.7013832466300443
791.549,69.9596,791.549,2.5902832466300367
793.23,70.4646,793.23,3.0952832466300464
794.914,70.2626,794.914,2.893283246630048
796.595,69.8182,796.595,2.4488832466300465
798.275,70.4444,798.275,3.0750832466300437
799.956,71.0303,799.956,3.660983246630039
801.635,69.6768,801.635,2.307483246630042
803.315,69.2727,803.315,1.9033832466300424
804.995,69.1919,804.995,1.822583246630046
806.674,68.8687,806.674,1.499383246630046
808.352,70.3838,808.352,3.0144832466300358
810.029,69.8586,810.029,2.4892832466300376
811.707,71.4747,811.707,4.105383246630041
813.385,69.9596,813.385,2.5902832466300367
815.06,70.5859,815.06,3.2165832466300373
816.735,71.3535,816.735,3.984183246630039
818.412,71.8182,818.412,4.4488832466300465
820.087,71.4949,820.087,4.125583246630043
821.761,72.7273,821.761,5.357983246630042
823.435,73.8182,823.435,6.4488832466300465
825.109,76.8081,825.109,9.438783246630038
826.782,80.4444,826.782,13.075083246630044
828.455,83.9192,828.455,16.549883246630046
830.128,89.4545,830.128,22.085183246630038
831.8,94.6869,831.8,27.317583246630036
833.472,97.2323,833.472,29.862983246630037
835.142,96.6666,835.142,29.297283246630045
836.814,96.6869,836.814,29.317583246630036
838.483,93.4748,838.483,26.105483246630044
840.154,87.0505,840.154,19.68118324663004
841.822,83.697,841.822,16.327683246630045
843.491,80.404,843.491,13.034683246630038
845.159,77.5758,845.159,10.206483246630043
846.826,75.1717,846.826,7.802383246630043
848.493,74.303,848.493,6.933683246630039
850.16,72.202,850.16,4.83268324663004
851.827,72.9899,851.827,5.620583246630048
853.494,73.4142,853.494,6.044883246630036
855.16,73.2727,855.16,5.903383246630042
856.823,72.9899,856.823,5.620583246630048
858.489,74.1818,858.489,6.812483246630038
860.154,74.6465,860.154,7.277183246630045
861.817,75.1919,861.817,7.822583246630046
863.48,77.5151,863.48,10.145783246630046
865.144,78.1212,865.144,10.751883246630044
866.806,79.1515,866.806,11.78218324663004
868.467,83.1313,868.467,15.761983246630038
870.129,86.3232,870.129,18.953883246630042
871.79,92.7071,871.79,25.33778324663004
873.451,98.3838,873.451,31.014483246630036
875.111,107.717,875.111,40.34768324663004
876.771,121.96,876.771,54.590683246630036
878.429,142.667,878.429,75.29768324663004
880.089,170.101,880.089,102.73168324663004
881.748,203.697,881.748,136.32768324663004
883.405,234.061,883.405,166.69168324663005
885.063,261.778,885.063,194.40868324663006
886.719,269.151,886.719,201.78168324663005
888.375,262.242,888.375,194.87268324663006
890.031,251.96,890.031,184.59068324663005
891.689,237.859,891.689,170.48968324663005
893.344,216.99,893.344,149.62068324663005
894.998,201.859,894.998,134.48968324663005
896.651,183.778,896.651,116.40868324663003
898.305,162.727,898.305,95.35768324663005
899.959,142.707,899.959,75.33768324663004
901.613,122.162,901.613,54.79268324663005
903.264,108.687,903.264,41.31768324663004
904.917,98.5454,904.917,31.176083246630043
906.568,92.4646,906.568,25.095283246630046
908.22,89.7778,908.22,22.40848324663004
909.87,88.4243,909.87,21.054983246630044
911.52,86.5252,911.52,19.15588324663004
913.169,86.7475,913.169,19.378183246630044
914.818,84.1414,914.818,16.772083246630046
916.467,81.3737,916.467,14.004383246630042
918.116,79.3939,918.116,12.024583246630044
919.764,76.2828,919.764,8.913483246630037
921.412,73.596,921.412,6.226683246630046
923.06,72.3232,923.06,4.953883246630042
924.705,70.202,924.705,2.8326832466300402
926.352,69.4545,926.352,2.085183246630038
927.997,68.8485,927.997,1.4791832466300434
929.643,68.202,929.643,0.8326832466300402
931.288,68.4848,931.288,1.115483246630049
932.931,68.5656,932.931,1.1962832466300455
934.577,66.9697,934.577,-0.39961675336995484
936.22,67.6364,936.22,0.2670832466300368
937.863,68.2828,937.863,0.9134832466300367
939.506,67.2929,939.506,-0.0764167533699549
941.148,67.0303,941.148,-0.33901675336996107
942.788,67.3535,942.788,-0.015816753369961134
944.43,67.1717,944.43,-0.19761675336995665
946.072,66.7475,946.072,-0.6218167533699557
947.711,67.2727,947.711,-0.09661675336995756
949.352,67.8788,949.352,0.5094832466300403
950.99,67.5758,950.99,0.20648324663004303
952.631,67.4343,952.631,0.0649832466300353
954.269,68.2222,954.269,0.8528832466300429
955.906,70.202,955.906,2.8326832466300402
957.544,71.2727,957.544,3.9033832466300424
959.181,70.4445,959.181,3.075183246630047
960.818,74.7677,960.818,7.398383246630047
962.454,74.8485,962.454,7.479183246630043
964.09,78.1414,964.09,10.772083246630046
965.726,81.6565,965.726,14.287183246630036
967.36,85.7374,967.36,18.368083246630036
968.995,90.8889,968.995,23.51958324663005
970.628,93.2323,970.628,25.862983246630037
972.263,97.7374,972.263,30.368083246630036
973.896,99.6364,973.896,32.26708324663004
975.528,101.515,975.528,34.14568324663004
977.162,100.828,977.162,33.458683246630045
978.793,100.667,978.793,33.297683246630044
980.424,101.455,980.424,34.08568324663004
982.055,104.848,982.055,37.47868324663004
983.686,106.545,983.686,39.175683246630044
985.316,112.424,985.316,45.05468324663005
986.945,114.606,986.945,47.23668324663004
988.574,116.949,988.574,49.57968324663004
990.204,115.333,990.204,47.96368324663004
991.831,112.444,991.831,45.074683246630045
993.46,110.606,993.46,43.23668324663004
995.087,105.657,995.087,38.28768324663004
996.713,103.232,996.713,35.86268324663004
998.339,98.4646,998.339,31.095283246630046
999.965,95.899,999.965,28.529683246630043
1001.59,95.6364,1001.59,28.267083246630037
1003.22,95.4344,1003.22,28.06508324663004
1004.84,96.6061,1004.84,29.23678324663004
1006.47,99.495,1006.47,32.12568324663005
1008.09,104.626,1008.09,37.25668324663005
1009.71,109.232,1009.71,41.86268324663004
1011.34,113.616,1011.34,46.24668324663004
1012.96,119.798,1012.96,52.428683246630044
1014.58,126.646,1014.58,59.27668324663004
1016.2,134.343,1016.2,66.97368324663003
1017.82,146.586,1017.82,79.21668324663005
1019.44,157.495,1019.44,90.12568324663005
1021.06,172.444,1021.06,105.07468324663003
1022.68,185.394,1022.68,118.02468324663005
1024.3,191.636,1024.3,124.26668324663004
1025.92,194.808,1025.92,127.43868324663003
1027.54,194.081,1027.54,126.71168324663003
1029.16,196.687,1029.16,129.31768324663005
1030.78,198.788,1030.78,131.41868324663005
1032.39,206.586,1032.39,139.21668324663005
1034.01,219.96,1034.01,152.59068324663005
1035.63,237.172,1035.63,169.80268324663004
1037.24,256.869,1037.24,189.49968324663007
1038.86,277.96,1038.86,210.59068324663002
1040.47,299.172,1040.47,231.80268324663007
1042.08,319.313,1042.08,251.94368324663003
1043.7,341.515,1043.7,274.14568324663
1045.31,357.838,1045.31,290.46868324663006
1046.93,368.687,1046.93,301.31768324663005
1048.54,371.071,1048.54,303.70168324663007
1050.15,368.667,1050.15,301.29768324663
1051.76,370.242,1051.76,302.87268324663006
1053.37,376.768,1053.37,309.39868324663
1054.98,389.737,1054.98,322.36768324663007
1056.6,398.909,1056.6,331.53968324663003
1058.21,404.465,1058.21,337.09568324663
1059.81,400.646,1059.81,333.27668324663006
1061.42,386.465,1061.42,319.09568324663
1063.03,357.273,1063.03,289.90368324663007
1064.64,331.798,1064.64,264.42868324663004
1066.25,307.212,1066.25,239.84268324663003
1067.86,285.051,1067.86,217.68168324663003
1069.46,269.939,1069.46,202.56968324663006
1071.07,264.727,1071.07,197.35768324663002
1072.67,262.364,1072.67,194.99468324663002
1074.28,263.374,1074.28,196.00468324663007
1075.89,265.414,1075.89,198.04468324663003
1077.49,268.808,1077.49,201.43868324663003
1079.09,271.798,1079.09,204.42868324663004
1080.7,270.525,1080.7,203.15568324663002
1082.3,272.384,1082.3,205.01468324663006
1083.9,282.0,1083.9,214.63068324663004
