,,B-Baseline
23.2408,54.0606,-15.370359882944307
25.1249,55.3737,-14.057259882944308
27.0086,56.2626,-13.168359882944308
28.8919,62.3232,-7.107759882944308
30.7748,66.1818,-3.249159882944312
32.6573,69.9394,0.5084401170556987
34.5395,72.9697,3.5387401170556956
36.4213,73.596,4.165040117055696
38.3005,76.5253,7.094340117055694
40.1816,79.5555,10.124540117055687
42.0622,87.8788,18.44784011705569
43.9425,105.253,35.82204011705569
45.8203,129.657,60.2260401170557
47.6998,155.636,86.20504011705569
49.5768,169.798,100.3670401170557
51.4556,180.747,111.3160401170557
53.3318,187.414,117.98304011705568
55.2098,189.636,120.20504011705569
57.0853,184.162,114.7310401170557
58.9605,183.535,114.10404011705569
60.8374,180.444,111.01304011705568
62.7117,181.879,112.44804011705568
64.5857,182.323,112.8920401170557
66.4594,182.465,113.0340401170557
68.3326,180.727,111.2960401170557
70.2055,182.121,112.6900401170557
72.078,184.444,115.01304011705568
73.9501,188.121,118.6900401170557
75.8219,188.323,118.8920401170557
77.6911,181.192,111.7610401170557
79.5621,169.939,100.50804011705569
81.4327,162.505,93.07404011705569
83.3009,159.313,89.88204011705568
85.1707,167.091,97.6600401170557
87.0403,172.343,102.91204011705568
88.9072,173.212,103.78104011705568
90.7739,178.141,108.71004011705568
92.6423,182.869,113.43804011705569
94.5081,190.485,121.0540401170557
96.3737,194.808,125.37704011705569
98.2409,195.333,125.90204011705569
100.106,193.859,124.4280401170557
101.97,181.515,112.08404011705568
103.834,169.192,99.7610401170557
105.698,163.354,93.9230401170557
107.561,157.919,88.4880401170557
109.424,154.889,85.4580401170557
111.286,152.929,83.4980401170557
113.149,151.394,81.9630401170557
115.008,151.01,81.57904011705568
116.87,152.545,83.11404011705568
118.731,159.838,90.40704011705569
120.591,161.313,91.88204011705568
122.45,158.404,88.97304011705569
124.31,153.374,83.94304011705569
126.167,145.111,75.68004011705568
128.024,131.919,62.488040117055704
129.883,123.212,53.781040117055696
131.739,118.242,48.8110401170557
133.595,116.444,47.013040117055695
135.453,115.475,46.04404011705569
137.308,115.859,46.42804011705569
139.163,115.313,45.882040117055695
141.018,118.707,49.276040117055686
142.872,123.394,53.9630401170557
144.725,129.515,60.08404011705568
146.579,141.758,72.3270401170557
148.432,157.535,88.10404011705569
150.282,173.919,104.4880401170557
152.135,187.737,118.30604011705569
153.986,199.859,130.4280401170557
155.838,208.343,138.91204011705568
157.687,216.828,147.3970401170557
159.538,224.242,154.81104011705568
161.386,233.838,164.4070401170557
163.236,236.525,167.0940401170557
165.084,233.455,164.0240401170557
166.931,225.919,156.4880401170557
168.78,212.606,143.1750401170557
170.627,201.414,131.98304011705568
172.473,197.152,127.72104011705568
174.318,200.242,130.81104011705568
176.164,215.232,145.8010401170557
178.009,225.374,155.9430401170557
179.854,229.818,160.3870401170557
181.698,230.162,160.7310401170557
183.542,221.758,152.3270401170557
185.385,210.121,140.6900401170557
187.226,197.535,128.1040401170557
189.069,189.616,120.1850401170557
190.912,180.141,110.71004011705568
192.752,174.303,104.87204011705569
194.593,170.505,101.07404011705569
196.433,164.667,95.2360401170557
198.274,164.465,95.0340401170557
200.112,164.949,95.5180401170557
201.95,170.626,101.1950401170557
203.79,173.737,104.30604011705569
205.628,182.323,112.8920401170557
207.465,186.424,116.9930401170557
209.302,191.818,122.3870401170557
211.138,196.505,127.07404011705569
212.974,202.869,133.4380401170557
214.81,209.091,139.6600401170557
216.645,210.606,141.1750401170557
218.48,207.778,138.34704011705568
220.314,200.061,130.6300401170557
222.146,186.485,117.0540401170557
223.98,170.505,101.07404011705569
225.814,155.96,86.5290401170557
227.645,148.04,78.60904011705568
229.477,141.616,72.1850401170557
231.308,143.535,74.10404011705569
233.14,145.354,75.9230401170557
234.969,153.96,84.5290401170557
236.798,163.111,93.68004011705568
238.627,170.04,100.60904011705568
240.458,175.616,106.1850401170557
242.286,175.98,106.54904011705568
244.114,169.616,100.1850401170557
245.941,162.505,93.07404011705569
247.768,151.111,81.68004011705568
249.595,143.939,74.50804011705569
251.421,136.788,67.3570401170557
253.245,133.354,63.923040117055706
255.07,131.172,61.74104011705569
256.896,130.182,60.75104011705568
258.718,130.323,60.8920401170557
260.543,125.455,56.02404011705569
262.367,123.859,54.42804011705569
264.189,119.899,50.46804011705569
266.01,118.162,48.7310401170557
267.833,115.05,45.61904011705569
269.654,113.636,44.20504011705569
271.474,111.556,42.12504011705569
273.296,114.222,44.79104011705569
275.116,115.333,45.90204011705569
276.935,120.525,51.0940401170557
278.754,123.838,54.407040117055686
280.572,133.657,64.2260401170557
282.39,141.252,71.8210401170557
284.208,149.03,79.5990401170557
286.023,156.404,86.97304011705569
287.84,163.576,94.14504011705569
289.657,171.919,102.4880401170557
291.471,181.636,112.20504011705569
293.287,197.03,127.5990401170557
295.103,214.808,145.37704011705569
296.916,221.434,152.0030401170557
298.729,221.596,152.1650401170557
300.543,212.646,143.21504011705568
302.355,198.97,129.5390401170557
304.167,189.859,120.4280401170557
305.979,186.586,117.1550401170557
307.792,191.96,122.5290401170557
309.602,193.939,124.50804011705569
311.413,198.182,128.75104011705568
313.223,195.111,125.68004011705568
315.032,190.828,121.3970401170557
316.84,184.929,115.4980401170557
318.648,182.0,112.56904011705569
320.457,181.273,111.84204011705569
322.265,188.747,119.3160401170557
324.071,201.838,132.4070401170557
325.878,222.0,152.5690401170557
327.684,243.293,173.8620401170557
329.49,267.091,197.6600401170557
331.295,287.899,218.4680401170557
333.099,309.717,240.28604011705568
334.904,336.202,266.7710401170557
336.708,371.616,302.1850401170557
338.511,414.162,344.73104011705567
340.313,462.384,392.9530401170557
342.116,503.858,434.4270401170557
343.917,516.161,446.73004011705564
345.719,504.545,435.1140401170557
347.52,460.949,391.5180401170557
349.321,403.354,333.9230401170557
351.121,353.98,284.5490401170557
352.92,318.889,249.4580401170557
354.719,306.848,237.4170401170557
356.519,316.04,246.6090401170557
358.316,352.101,282.6700401170557
360.115,409.859,340.4280401170557
361.911,479.03,409.59904011705567
363.707,543.475,474.0440401170557
365.504,576.424,506.99304011705567
367.3,562.121,492.6900401170557
369.095,505.091,435.6600401170557
370.889,428.323,358.89204011705567
372.683,350.909,281.4780401170557
374.477,288.263,218.83204011705567
376.271,248.949,179.5180401170557
378.064,222.929,153.4980401170557
379.857,203.818,134.3870401170557
381.649,188.505,119.07404011705569
383.439,180.99,111.5590401170557
385.231,169.475,100.04404011705569
387.022,163.596,94.1650401170557
388.811,158.0,88.56904011705569
390.602,154.263,84.8320401170557
392.39,151.818,82.3870401170557
394.178,148.303,78.87204011705569
395.968,151.414,81.98304011705568
397.755,156.828,87.3970401170557
399.542,161.616,92.1850401170557
401.329,172.323,102.8920401170557
403.115,187.556,118.1250401170557
404.901,206.505,137.0740401170557
406.686,223.515,154.08404011705568
408.472,245.172,175.7410401170557
410.256,267.798,198.3670401170557
412.041,294.162,224.73104011705567
413.823,342.465,273.03404011705567
415.607,406.747,337.3160401170557
417.39,476.768,407.33704011705566
419.171,535.859,466.42804011705573
420.954,559.717,490.2860401170557
422.734,545.293,475.8620401170557
424.514,496.121,426.6900401170557
426.296,443.475,374.0440401170557
428.075,410.788,341.3570401170557
429.854,420.424,350.99304011705567
431.633,464.828,395.39704011705567
433.411,528.404,458.9730401170557
435.189,568.929,499.49804011705567
436.967,568.788,499.3570401170557
438.744,524.222,454.7910401170557
440.521,452.343,382.9120401170557
442.295,377.737,308.3060401170557
444.072,312.242,242.8110401170557
445.848,267.333,197.90204011705572
447.621,232.404,162.9730401170557
449.396,208.727,139.2960401170557
451.169,194.505,125.07404011705569
452.944,189.838,120.40704011705569
454.716,190.505,121.07404011705569
456.487,199.697,130.2660401170557
458.259,217.96,148.5290401170557
460.03,243.495,174.0640401170557
461.803,282.364,212.93304011705567
463.573,327.495,258.0640401170557
465.343,364.343,294.9120401170557
467.111,382.101,312.6700401170557
468.88,368.97,299.5390401170557
470.649,341.576,272.1450401170557
472.418,301.616,232.18504011705568
474.184,266.748,197.31704011705568
475.952,243.374,173.9430401170557
477.718,233.091,163.6600401170557
479.485,230.687,161.2560401170557
481.25,231.697,162.2660401170557
483.017,235.838,166.4070401170557
484.781,238.141,168.71004011705568
486.545,239.192,169.7610401170557
488.308,235.798,166.3670401170557
490.072,226.02,156.5890401170557
491.835,219.172,149.7410401170557
493.597,203.313,133.88204011705568
495.359,190.182,120.75104011705568
497.121,175.212,105.78104011705568
498.883,160.747,91.3160401170557
500.644,151.03,81.5990401170557
502.403,140.687,71.2560401170557
504.163,131.172,61.74104011705569
505.921,125.273,55.84204011705569
507.681,122.101,52.67004011705569
509.439,116.626,47.1950401170557
511.198,114.525,45.0940401170557
512.955,111.434,42.00304011705569
514.711,109.192,39.761040117055686
516.467,108.465,39.034040117055696
518.223,106.848,37.41704011705569
519.978,105.192,35.761040117055686
521.733,104.949,35.51804011705569
523.488,104.061,34.6300401170557
525.243,103.737,34.30604011705569
526.997,103.394,33.9630401170557
528.75,105.919,36.48804011705569
530.502,104.141,34.7100401170557
532.255,105.98,36.549040117055696
534.006,106.303,36.87204011705569
535.758,108.263,38.8320401170557
537.508,109.232,39.80104011705569
539.26,110.889,41.45804011705569
541.009,113.434,44.00304011705569
542.758,114.162,44.7310401170557
544.507,117.313,47.882040117055695
546.255,118.242,48.8110401170557
548.003,121.96,52.529040117055686
549.751,126.545,57.114040117055694
551.498,129.05,59.619040117055704
553.245,135.414,65.98304011705568
554.992,142.465,73.0340401170557
556.738,151.01,81.57904011705568
558.482,160.707,91.27604011705569
560.228,171.818,102.3870401170557
561.971,184.323,114.8920401170557
563.716,197.05,127.6190401170557
565.459,212.727,143.2960401170557
567.201,226.081,156.65004011705568
568.945,246.303,176.8720401170557
570.687,271.172,201.74104011705572
572.428,301.455,232.02404011705568
574.169,336.646,267.2150401170557
575.91,363.838,294.4070401170557
577.65,369.636,300.2050401170557
579.39,360.242,290.8110401170557
581.13,331.939,262.5080401170557
582.867,300.283,230.8520401170557
584.606,265.455,196.02404011705568
586.345,241.293,171.8620401170557
588.081,219.535,150.1040401170557
589.819,202.869,133.4380401170557
591.555,186.444,117.01304011705568
593.29,176.485,107.0540401170557
595.027,163.98,94.54904011705568
596.762,154.364,84.9330401170557
598.496,145.091,75.6600401170557
600.23,137.737,68.30604011705569
601.964,133.051,63.62004011705568
603.697,125.192,55.761040117055686
605.43,123.071,53.64004011705569
607.163,123.293,53.8620401170557
608.895,122.909,53.4780401170557
610.625,128.02,58.5890401170557
612.357,136.202,66.77104011705569
614.088,146.162,76.7310401170557
615.817,151.111,81.68004011705568
617.548,155.717,86.2860401170557
619.276,151.879,82.44804011705568
621.004,142.343,72.91204011705568
622.732,127.616,58.18504011705569
624.461,114.303,44.87204011705569
626.188,105.192,35.761040117055686
627.915,97.6565,28.225540117055687
629.641,96.6465,27.215540117055696
631.367,93.596,24.165040117055696
633.093,95.1717,25.740740117055694
634.817,96.3838,26.952840117055686
636.542,100.343,30.912040117055696
638.266,103.515,34.08404011705569
639.989,106.909,37.4780401170557
641.713,106.384,36.95304011705569
643.435,105.657,36.22604011705569
645.158,102.061,32.6300401170557
646.879,99.4748,30.043840117055694
648.6,96.0202,26.589240117055695
650.32,96.4243,26.993340117055695
652.04,98.3838,28.952840117055686
653.76,100.687,31.25604011705569
655.48,105.414,35.983040117055694
657.199,106.444,37.013040117055695
658.917,110.222,40.79104011705569
660.636,111.131,41.70004011705569
662.354,110.202,40.77104011705569
664.07,107.556,38.12504011705569
665.787,100.828,31.397040117055695
667.503,94.8283,25.39734011705569
669.219,92.5858,23.1548401170557
670.934,88.6869,19.255940117055687
672.65,86.6465,17.215540117055696
674.364,83.9596,14.528640117055687
676.078,82.0808,12.649840117055689
677.791,80.0606,10.629640117055686
679.504,78.1616,8.7306401170557
681.216,78.0,8.569040117055692
682.929,75.5353,6.104340117055699
684.641,75.5555,6.1245401170556875
686.352,74.5051,5.074140117055691
688.061,74.1616,4.7306401170556995
689.772,74.9091,5.478140117055688
691.483,74.0808,4.649840117055689
693.191,74.0404,4.609440117055698
694.899,75.4343,6.003340117055686
696.609,73.3334,3.90244011705569
698.316,72.9697,3.5387401170556956
700.023,73.899,4.468040117055693
701.732,73.5758,4.144840117055693
703.438,74.303,4.87204011705569
705.144,73.5555,4.1245401170556875
706.85,73.8788,4.447840117055691
708.554,73.1111,3.6801401170556858
710.259,73.8586,4.427640117055688
711.964,73.1919,3.7609401170556964
713.668,75.1111,5.680140117055686
715.37,74.9091,5.478140117055688
717.074,74.3434,4.912440117055695
718.775,75.6768,6.2458401170556925
720.479,76.8687,7.4377401170556965
722.179,77.9798,8.54884011705569
723.88,77.899,8.468040117055693
725.582,78.9293,9.49834011705569
727.282,79.5758,10.144840117055693
728.982,81.9192,12.488240117055696
730.681,82.9293,13.49834011705569
732.38,82.7273,13.296340117055692
734.076,84.8485,15.417540117055694
735.775,84.101,14.670040117055692
737.473,83.0707,13.639740117055695
739.17,84.9697,15.538740117055696
740.866,84.6869,15.255940117055687
742.563,82.8687,13.437740117055696
744.257,82.8889,13.4579401170557
745.954,81.3737,11.942740117055692
747.648,81.0101,11.579140117055687
749.342,79.7576,10.326640117055689
751.035,78.6869,9.255940117055687
752.728,77.3131,7.882140117055698
754.421,77.0303,7.599340117055689
756.113,75.1515,5.720540117055691
757.806,74.4848,5.0538401170556995
759.497,73.5354,4.104440117055688
761.189,74.4041,4.973140117055692
762.878,72.9091,3.4781401170556876
764.569,72.4647,3.033740117055686
766.258,72.3636,2.9326401170556977
767.948,72.2424,2.811440117055696
769.636,72.2222,2.7912401170556933
771.326,73.8788,4.447840117055691
773.013,74.0808,4.649840117055689
774.7,73.9798,4.54884011705569
776.387,75.1717,5.740740117055694
778.073,75.6566,6.22564011705569
779.759,77.2121,7.781140117055699
781.445,75.9596,6.528640117055687
783.13,75.2323,5.8013401170556875
784.815,75.4546,6.023640117055692
786.498,73.4747,4.043740117055691
788.183,73.4344,4.003440117055689
789.867,71.7576,2.326640117055689
791.549,71.6363,2.205340117055698
793.23,71.5556,2.124640117055691
794.914,71.8586,2.427640117055688
796.595,70.1616,0.7306401170556995
798.275,71.6162,2.1852401170556988
799.956,72.101,2.6700401170556916
801.635,71.0303,1.5993401170556893
803.315,70.0202,0.5892401170556951
804.995,70.8283,1.3973401170556912
806.674,70.3636,0.9326401170556977
808.352,69.6566,0.22564011705568987
810.029,70.7475,1.3165401170556947
811.707,70.3232,0.8922401170556924
813.385,70.7677,1.3367401170556974
815.06,70.5657,1.1347401170556992
816.735,70.8687,1.4377401170556965
818.412,71.9596,2.528640117055687
820.087,73.1111,3.6801401170556858
821.761,74.1818,4.750840117055688
823.435,74.2424,4.811440117055696
825.109,76.5859,7.154940117055688
826.782,79.5758,10.144840117055693
828.455,83.5354,14.104440117055688
830.128,88.5858,19.1548401170557
831.8,94.9697,25.538740117055696
833.472,99.7374,30.306440117055686
835.142,100.97,31.53904011705569
836.814,99.3737,29.942740117055692
838.483,95.6566,26.22564011705569
840.154,90.7273,21.296340117055692
841.822,84.7879,15.356940117055686
843.491,81.3939,11.962940117055695
845.159,77.899,8.468040117055693
846.826,76.7273,7.296340117055692
848.493,75.0909,5.659940117055697
850.16,74.6667,5.235740117055698
851.827,73.5151,4.084140117055696
853.494,73.3334,3.90244011705569
855.16,73.3535,3.9225401170556893
856.823,73.1515,3.720540117055691
858.489,72.9697,3.5387401170556956
860.154,74.9293,5.49834011705569
861.817,75.0909,5.659940117055697
863.48,75.0707,5.639740117055695
865.144,78.6263,9.195340117055693
866.806,80.8485,11.417540117055694
868.467,81.1515,11.720540117055691
870.129,85.8788,16.44784011705569
871.79,91.0909,21.659940117055697
873.451,96.6263,27.195340117055693
