		B-Baseline
23.2408	99.8182	-3791.6865933007125
25.1249	125.152	-3771.8970003044074
27.0086	158.667	-3743.925030256565
28.8919	201.636	-3706.4978831571852
30.7748	253.758	-3659.916559006268
32.6573	317.879	-3601.3350578038135
34.5395	387.172	-3537.5806738127058
36.4213	469.253	-3461.0371127700605
38.3005	559.636	-3376.183900892423
40.1816	660.687	-3280.668280009588
42.0622	763.353	-3183.536187812331
43.9425	873.98	-3078.4422128264214
45.8203	996.828	-2961.119881268403
47.6998	1127.27	-2836.2085521794183
49.5768	1271.47	-2697.531866518326
51.4556	1431.76	-2542.7704775891507
53.3318	1595.31	-2384.741437824983
55.2098	1761.07	-2224.5076947927337
57.0853	1913.88	-2077.216595188376
58.9605	2069.43	-1927.1846127953654
60.8374	2222.38	-1779.757632871388
62.7117	2358.99	-1648.6630021124183
64.5857	2500.89	-1512.2774885647955
66.4594	2638.38	-1380.3010922285198
68.3326	2773.62	-1250.5732245778222
70.2055	2901.5	-1128.2044741384716
72.078	3010.53	-1024.6845466475838
73.9501	3090.48	-950.2434421051589
75.8219	3171.15	-875.0814547740806
77.6911	3220.85	-830.8818166080105
79.5621	3275.92	-781.3174751738575
81.4327	3311.45	-751.2919566881674
83.3009	3339.51	-728.7293758932533
85.1707	3368.63	-705.1115033044885
87.0403	3374.12	-705.1230421899554
88.9072	3396.16	-688.5766359775453
90.7739	3408.3	-681.929641239366
92.6423	3426.97	-668.757648970221
94.5081	3432.81	-668.4080058660825
96.3737	3443.68	-663.0277742361764
98.2409	3453.74	-658.4622508124185
100.106	3471.39	-646.3005478680902
101.97	3479.05	-644.1256080320345
103.834	3491.54	-637.1206681959784
105.698	3498.18	-635.9657283599222
107.561	3524.97	-614.657845895023
109.424	3521.43	-623.6799634301237
111.286	3531.15	-619.4391383363813
113.149	3536.56	-619.5112558714823
115.008	3553.19	-608.3516028912095
116.87	3551.35	-615.6707777974666
118.731	3544.91	-627.5870100748807
120.591	3558.97	-619.0002997234519
122.45	3555.07	-628.3706467431789
124.31	3559.78	-629.13393639175
126.167	3560.55	-633.8283981537907
128.024	3575.41	-624.4328599158316
129.883	3579.94	-625.3732069355588
131.739	3596.73	-614.0447260687565
133.595	3607.9	-608.3362452019542
135.453	3627.76	-593.9436495928376
137.308	3639.41	-587.7522260971928
139.163	3658.5	-574.1208026015465
141.018	3677.53	-560.5493791059002
142.872	3711.39	-532.1450129814116
144.725	3731.64	-517.3477042280788
146.579	3741.17	-513.2733381035896
148.432	3770.95	-488.94602935025796
150.282	3798.59	-466.7498927103952
152.135	3801.88	-468.91258395706245
153.986	3819.07	-457.1693899460438
155.838	3825.37	-456.31913856386745
157.687	3834.97	-452.1600592951622
159.538	3831.25	-461.3268652841434
161.386	3833.9	-464.1148433865942
163.236	3833.05	-470.4087067467317
165.084	3830.83	-478.0666848491828
166.931	3838.99	-475.34172032279
168.78	3852.26	-467.51264105408427
170.627	3856.61	-468.59767652769233
172.473	3875.53	-455.1097693724564
174.318	3866.71	-469.3589195883769
176.164	3878.02	-463.48101243314204
178.009	3881.21	-465.72016264906233
179.854	3898.42	-453.93931286498355
181.698	3901.37	-456.4155204520612
183.542	3910.63	-452.5817280391393
185.385	3925.78	-442.85499299737285
187.226	3935.09	-438.9623726979207
189.069	3936.24	-443.23563765615563
190.912	3946.67	-438.2289026143899
192.752	3953.39	-436.9233396860941
194.593	3964.73	-431.0007193866418
196.433	3971.13	-430.0151564583466
198.274	3986.95	-419.6125361588947
200.112	3988.52	-423.45108797291186
201.95	3982.26	-435.11963978692984
203.79	4002.08	-420.71407685863414
205.628	4004.97	-423.2326286726525
207.465	4018.38	-415.22823785782657
209.302	4016.69	-422.323847043001
211.138	4016.12	-428.2965135993318
212.974	4017.54	-432.2791801556632
214.81	4009.88	-445.34184671199455
216.645	4014.0	-446.62157063948234
218.48	4014.14	-451.88129456697015
220.314	4015.68	-455.738075865615
222.146	4030.99	-445.8189719065722
223.98	4032.81	-449.3957532052168
225.814	4055.05	-432.55253450386135
227.645	4057.7	-435.290487915976
229.477	4078.0	-420.38138395693386
231.308	4100.79	-402.97933736904815
233.14	4098.81	-410.3502334100058
234.969	4118.91	-395.6323015644339
236.798	4117.03	-402.89436971886244
238.627	4117.35	-407.95643787329027
240.458	4116.67	-414.0243912854048
242.286	4122.59	-413.4835168109894
244.114	4112.77	-428.68264233657374
245.941	4116.67	-430.15882523331493
247.768	4115.33	-436.8750081300568
249.595	4125.11	-432.4711910267979
251.421	4111.07	-451.8844312946958
253.245	4142.73	-425.59178630490715
255.07	4133.15	-440.5420839439621
256.896	4129.62	-449.44532421185977
258.718	4142.22	-442.2067939643839
260.543	4148.02	-441.77709160343875
262.367	4159.9	-435.26444661365076
264.189	4165.64	-434.88591636617457
266.01	4182.1	-423.78444348985613
267.833	4181.15	-430.09885587122517
269.654	4184.14	-432.46738299490517
271.474	4211.33	-410.63296748974426
273.296	4211.39	-415.93443724226836
275.116	4221.09	-411.5900217371063
276.935	4226.95	-411.08266360310154
278.754	4242.67	-400.71530546909617
280.572	4253.17	-395.56500470624724
282.39	4266.75	-387.3347039433993
284.208	4273.47	-385.9644031805501
286.023	4287.72	-377.05527453117156
287.84	4301.74	-368.3820311394802
289.657	4309.66	-365.8087877477883
291.471	4336.61	-344.19671646956704
293.287	4358.97	-327.1805304490308
295.103	4354.53	-336.9643444284966
296.916	4351.19	-345.6393305214315
298.729	4336.48	-365.68431661436625
300.543	4352.85	-354.6522453361431
302.355	4348.04	-364.79428880023534
304.167	4352.14	-366.0263322643268
305.979	4359.21	-364.28837572841803
307.792	4352.57	-376.2633618213531
309.602	4357.34	-376.8195200277578
311.413	4353.7	-385.78862086300614
313.223	4356.89	-387.92477906941076
315.032	4345.35	-404.78799464697204
316.84	4366.42	-389.03826759569074
318.648	4365.78	-394.9985405444095
320.457	4410.46	-355.6417561219705
322.265	4413.54	-357.882029070689
324.071	4449.86	-326.876416761721
325.878	4467.98	-314.0737470815957
327.684	4521.37	-265.99813477262705
329.49	4557.96	-234.7225224636586
331.295	4607.7	-190.29396752584762
333.099	4659.27	-144.03246995919199
334.904	4712.2	-96.41391502138049
336.708	4760.97	-52.95241745472504
338.511	4793.09	-26.137977259227227
340.313	4796.48	-28.05059443488608
342.116	4776.32	-53.516154239387106
343.917	4762.3	-72.835828786202
345.719	4738.89	-101.54844596186012
347.52	4731.21	-114.52812050867578
349.321	4726.06	-124.97779505548988
351.121	4769.8	-86.53452697346165
352.92	4810.59	-51.03831626259034
354.719	4866.71	-0.21210555171910528
356.519	4903.66	31.441162530309157
358.316	4939.41	61.90325849886722
360.115	4954.52	71.71946920973915
361.911	4940.97	52.884507807140835
363.707	4914.65	21.27954640454209
365.504	4880.97	-17.688357626899233
367.3	4841.33	-62.6133190294986
369.095	4815.03	-94.1953378032531
370.889	4787.31	-127.19441394816477
372.683	4784.4	-135.38349009307694
374.477	4782.97	-142.09256623798774
376.271	4776.06	-154.28164238289992
378.064	4772.08	-163.5377758989689
379.857	4776.85	-164.04390941503698
381.649	4767.94	-178.22710030226244
383.439	4781.09	-170.3444059318008
385.231	4796.18	-160.52759681902626
387.022	4785.74	-176.23784507740856
388.811	4793.25	-173.99220807810343
390.602	4810.0	-162.51245633648523
392.39	4821.21	-156.56387670833738
394.178	4836.22	-146.81529708018843
395.968	4838.56	-149.74260270972718
397.755	4850.42	-143.14108045273588
399.542	4875.6	-123.21955819574396
401.329	4884.04	-120.03803593875364
403.115	4915.64	-93.69357105291874
404.901	4943.98	-70.60910616708406
406.686	4966.22	-53.62169865240594
408.472	5009.53	-15.567233766571007
410.256	5043.96	13.61311637695053
412.041	5072.0	36.400523891628836
413.823	5103.57	62.726759292836505
415.607	5123.35	77.2571094363584
417.39	5130.81	79.47040220872259
419.171	5117.03	60.449580238773706
420.954	5100.02	38.192873011139454
422.734	5094.45	27.3849936700326
424.514	5096.79	24.48711432892742
426.296	5116.93	39.383349730136615
428.075	5153.96	71.17841301787394
429.854	5199.01	110.9934763056117
431.633	5224.34	131.0885395933501
433.411	5241.84	143.35654550993058
435.189	5233.8	130.084551426512
436.967	5194.57	85.62255734309292
438.744	5159.17	44.993505888518484
440.521	5107.45	-11.95554556605748
442.295	5078.51	-46.115769134103175
444.072	5057.86	-71.99482058867852
445.848	5062.79	-72.29092941441013
447.621	5038.89	-101.40821035361205
449.396	5055.05	-90.47137655050119
451.169	5056.5	-94.23865748970275
452.944	5086.97	-68.99182368659149
454.716	5119.09	-42.08616199695098
456.487	5146.4	-19.987557678467056
458.259	5181.72	10.118104011175092
460.03	5199.51	22.696708329659486
461.803	5224.89	42.85942739045731
463.573	5239.31	52.07097433778563
465.343	5248.48	56.032521285112125
467.111	5224.4	26.749953490127155
468.88	5199.54	-3.3155569337022825
470.649	5191.68	-16.3810673575299
472.418	5194.95	-18.316577781360138
474.184	5182.51	-35.95326031865807
475.952	5204.99	-18.675828113644457
477.718	5206.16	-22.702510650942713
479.485	5225.31	-8.752135817084309
481.25	5228.44	-10.815875725541446
483.017	5250.18	5.724499108317104
484.781	5253.33	3.6837018287042156
486.545	5252.85	-1.9870954509069634
488.308	5250.14	-9.884950101675713
490.072	5241.51	-23.705747381288347
491.835	5250.44	-19.96360203205768
493.597	5228.57	-47.01851405398338
495.359	5220.4	-60.373426075909265
497.121	5221.52	-64.43833809783428
498.883	5207.86	-83.28325011975994
500.644	5217.05	-79.27521951284234
502.403	5203.21	-98.29130364823777
504.163	5213.88	-92.8003304124768
505.921	5207.11	-104.74347191902962
507.681	5216.59	-100.44249868326824
509.439	5209.86	-112.3456401898211
511.198	5204.49	-122.89172432521627
512.955	5212.0	-120.55192320292554
514.711	5206.08	-131.63917945179128
516.467	5218.81	-124.07643570065648
518.223	5221.13	-126.92369194952244
519.978	5225.9	-127.31800556954568
521.733	5238.87	-119.51231918956819
523.488	5237.42	-126.12663280958986
525.243	5232.65	-136.06094642961307
526.997	5239.49	-134.38231742079188
528.75	5258.47	-120.56074578312746
530.502	5262.57	-121.61623151662025
532.255	5260.71	-128.63465987895597
534.006	5282.71	-111.7872029836044
535.758	5295.25	-104.40268871709759
537.508	5285.58	-119.22228919290319
539.26	5311.64	-98.31777492639503
541.009	5327.33	-87.77443277335806
542.758	5326.61	-93.64109062032094
544.507	5345.54	-79.85774846728327
546.255	5351.31	-79.23146368540165
548.003	5377.29	-58.39517890352181
549.751	5384.08	-56.74889412164066
551.498	5423.98	-21.989666710916936
553.245	5428.34	-22.770439300192265
554.992	5460.75	4.498788110531677
556.738	5482.12	20.73095815009856
558.482	5515.09	48.56901344735343
560.228	5529.51	57.85118348692049
561.971	5553.78	76.99218141301753
563.716	5584.42	102.49729408142866
565.459	5610.67	123.61829200752618
567.201	5637.8	145.6222325624667
568.945	5658.38	161.07028785972125
570.687	5683.82	181.38422841466127
572.428	5707.72	200.16111159844604
574.169	5707.68	194.9979947822303
575.91	5704.12	186.31487796601414
577.65	5671.78	148.85470377864021
579.39	5658.52	130.47452959126895
581.13	5628.45	95.28435540389546
582.867	5614.54	76.26300910305326
584.606	5609.29	65.8957775445233
586.345	5620.71	72.19854598599431
588.081	5584.28	30.660142313994584
589.819	5583.15	24.41585338430832
591.555	5600.34	36.49744971230939
593.29	5584.5	15.551988669153616
595.027	5583.47	9.410642368310619
596.762	5578.1	-1.0648186748449007
598.496	5577.78	-6.487337089158245
600.23	5578.32	-11.049855503471008
601.964	5592.83	-1.6423739177844254
603.697	5590.59	-8.981949703253122
605.43	5597.45	-7.221525488722364
607.163	5603.45	-6.321101274192188
608.895	5625.13	10.262265569182091
610.625	5631.94	11.981517670242283
612.357	5631.19	6.134884513616271
614.088	5642.3	12.151193985833743
615.817	5649.53	14.29338871573691
617.548	5634.42	-5.910301812045873
619.276	5629.7	-15.715164453297803
621.004	5642.77	-7.730027094550678
622.732	5641.92	-13.664889735803627
624.461	5647.72	-12.952695005899841
626.188	5654.97	-10.784615018309523
627.915	5683.92	13.083464969280612
629.641	5684.04	8.124487585714633
631.367	5674.67	-6.324489797851129
633.093	5696.48	10.406532818581582
634.817	5689.19	-1.956559307297539
636.542	5711.92	15.697405937979966
638.266	5714.0	12.704313812100736
639.989	5717.25	10.884164315063572
641.713	5716.63	5.191072189184524
643.435	5743.92	27.413865320992045
645.158	5746.85	25.273715823955172
646.879	5761.68	35.03945158460556
648.6	5758.14	26.435187345256054
650.32	5761.61	24.84386573474967
652.04	5763.51	21.682544124243577
653.76	5758.02	11.131222513737157
655.48	5779.19	27.23990090323059
657.199	5776.22	19.21152192156842
658.917	5779.58	17.516085568748167
660.636	5762.22	-4.902293412914332
662.354	5771.29	-0.887729765734548
664.07	5760.22	-17.007280860867468
665.787	5755.23	-27.049774584844272
667.503	5758.04	-29.289325679977082
669.219	5754.12	-38.258876775110366
670.934	5753.11	-44.31548524139998
672.65	5745.19	-57.28503633653327
674.364	5738.08	-69.43870217397944
676.078	5736.18	-76.38236801142557
677.791	5740.65	-76.95309122002891
679.504	5736.12	-86.52381442863225
681.216	5745.74	-81.94159500839123
682.929	5737.46	-95.26231821699457
684.641	5741.4	-96.36009879675476
686.352	5723.03	-119.76493674767062
688.061	5752.44	-95.38388944090093
689.772	5728.89	-123.96872739181708
691.483	5752.57	-105.32356534273367
693.191	5749.31	-113.60957540712025
694.899	5756.89	-111.05558547150667
696.609	5754.81	-118.16748079357876
698.316	5761.27	-116.73054822912309
700.023	5770.08	-112.94361566466614
701.732	5773.07	-114.98256835789653
703.438	5776.16	-116.91269316459511
705.144	5805.45	-92.6428179712957
706.85	5802.34	-100.77294277799592
708.554	5807.8	-100.32718232700881
710.259	5826.1	-87.04436450486537
711.964	5825.6	-92.56154668272211
713.668	5834.48	-88.69578623173584
715.37	5851.54	-76.64414052306165
717.074	5857.21	-75.9883800720745
718.775	5885.15	-53.05379173455822
720.479	5889.03	-54.188031283571945
722.179	5908.79	-39.43050031721123
723.88	5917.29	-35.93591197969454
725.582	5916.69	-41.544266271022025
727.282	5935.78	-27.45673530466138
728.982	5952.99	-15.249204338300842
730.681	5956.91	-16.328730743098276
732.38	5975.54	-2.6982571478938553
734.076	5988.61	5.381044333838872
735.775	6001.11	12.881517929042275
737.473	6016.2	22.974934153088725
739.17	6022.12	23.901293005978914
740.866	6032.99	29.780594487712733
742.563	6036.71	28.506953340603104
744.257	6041.03	27.842140080022546
745.954	6057.46	39.27849893291295
747.648	6059.94	36.77368567233225
749.342	6061.13	32.97887241175249
751.035	6073.09	39.95700178001607
752.728	6095.62	57.50513114827936
754.421	6081.86	38.76326051654178
756.113	6085.82	37.74433251364826
757.806	6097.27	44.21246188191253
759.497	6101.84	43.80647650786159
761.189	6114.3	51.28754850496898
762.878	6115.17	47.187448388604935
764.569	6104.38	31.42146301455523
766.258	6118.89	40.96136289819242
767.948	6119.94	37.03832015298485
769.636	6118.1	30.23116266546458
771.326	6100.61	7.76811992025705
773.013	6117.31	19.503905061581463
774.7	6126.51	23.739690202904967
776.387	6123.52	15.785475344227962
778.073	6129.17	16.474203114394186
779.759	6132.26	14.60293088456092
781.445	6134.51	11.891658654727507
783.13	6144.69	17.11332905373638
784.815	6131.11	-1.425000547254058
786.498	6164.47	26.98255510944273
788.183	6144.54	2.094225508452837
789.867	6159.37	11.968838536306066
791.549	6153.15	0.7993368218449177
793.23	6174.63	17.332777736229218
794.914	6175.23	12.977390764081065
796.595	6174.45	7.250831678465147
798.275	6197.21	25.067215221691185
799.956	6217.01	39.920656136075195
801.635	6219.54	37.50998230814457
803.315	6221.68	34.70636585137072
804.995	6238.5	46.58274939459716
806.674	6244.73	47.87207556666635
808.352	6248.85	47.05434436757969
810.029	6255.13	48.39955579733669
811.707	6283.37	71.701824598249
813.385	6284.02	67.41409339916208
815.06	6287.78	66.24519008660445
816.735	6307.25	80.78628677404777
818.412	6324.99	93.5914982038048
820.087	6326.63	90.30259489124819
821.761	6348.14	106.88663420753437
823.435	6327.8	81.62067352382019
825.109	6339.88	88.77471284010699
826.782	6356.45	100.42169478523556
