Frequency (cm^-1),Intensity
234,7
263,19
514,7
606,12
639,2
775,67
798,52
868,4
897,9
986,5
1054,36
1115,26
1177,14
1269,3
1310,23
1413,65
1461,10
1501,120
1628,22
1666,399
3009,60
3275,6
3290,3
