Frequency,Intensity
-471.9263,49.0689
-423.7279,135.1480
-227.0775,2264.4997
-128.4749,592.5074
85.5543,16.9099
91.0455,5.3862
102.9208,87.9796
121.2858,38.1734
129.8345,30.4739
134.6497,89.0647
160.0435,2.4100
165.8636,36.5440
190.9229,53.9736
202.2506,12.3354
208.5914,22.2858
229.6597,83.8802
252.8613,92.3106
280.9552,300.8513
290.6567,28.6350
303.1732,68.3363
314.1299,52.7264
327.8935,94.6646
335.6494,73.9088
337.1450,21.5948
355.3532,26.6222
372.4740,54.2997
390.0750,35.7771
405.3823,100.4828
420.4873,27.3802
438.4964,38.1060
443.3323,47.2163
462.5411,278.5716
473.9294,71.1720
501.2755,48.4499
541.3735,219.1632
551.8101,149.0550
571.4770,48.9467
586.4615,1.1011
614.5829,159.4481
635.1864,53.6940
648.5494,51.0822
662.0498,61.0650
685.9195,49.0535
693.6071,43.1752
709.1348,107.6813
719.6143,239.3963
736.9151,282.9991
745.7842,143.9539
770.8062,170.6126
805.5446,69.3665
817.1424,481.9050
844.7227,193.5054
853.3194,118.9866
867.9853,78.1039
883.8798,76.4146
887.1941,120.4350
907.1673,26.3903
919.3657,139.5182
945.4797,265.7231
960.9163,355.7558
984.8134,672.7738
989.5548,285.9462
1021.8263,335.1722
1024.0787,298.8248
1051.4379,9.0201
1062.1785,356.8158
1086.5632,19.9819
1089.8810,278.5513
1097.7038,41.1333
1105.1104,74.4788
1129.7832,24.4949
1163.6571,42.8355
1213.9103,38.9687
1215.6306,309.9101
1348.3022,68.0929
1352.2009,96.5410
1412.7252,61.5457
1418.5232,110.6838
1463.2806,30.2041
3240.4716,39.7743
3368.1508,1089.1876
3390.0104,434.4264
3396.7989,233.1817
3399.1432,170.6071
3400.2928,380.5877
3904.1063,439.6884
3922.6600,575.6434
