Frequency,Intensity
-336.9753,23.5503
-182.5906,6586.6695
-110.2007,92.9315
79.9462,37.9308
88.7633,5.6457
106.8432,96.1172
138.1616,33.8586
145.1808,4.5514
149.4822,500.2461
162.2016,8.9710
180.5676,43.9998
211.2694,43.0257
232.2056,128.4370
239.7656,676.6266
253.8074,1039.5064
270.0108,38.3742
293.5344,47.3178
301.8783,2.9074
308.6699,4.4246
314.6865,49.4184
326.5359,119.2966
335.6112,95.6527
350.0690,38.6595
356.7365,403.0176
402.6350,274.8925
419.3751,391.5520
442.7887,418.5315
446.3582,121.1978
469.8389,114.2671
484.0217,1637.8981
502.4753,61.1036
515.9105,328.4163
523.2043,320.5909
556.2614,2944.1328
583.3670,11.7715
604.3652,192.7724
617.1915,88.9347
626.8084,1024.4905
641.0465,199.3390
656.4695,57.1994
683.9423,43.3545
700.5153,444.6902
735.7048,75.6819
748.3339,153.8048
764.3115,200.1234
770.7837,137.4511
797.7070,26.9811
820.1036,16.7611
833.2838,785.7577
849.1106,351.4374
854.3635,468.0063
866.3350,72.4286
882.8060,80.4601
897.2630,337.4752
916.6190,87.5556
933.3548,39.0553
946.4228,78.3052
957.9492,44.2101
977.7529,14.1747
998.8696,20.6104
1009.1449,769.7945
1038.7802,1308.1832
1054.6007,38.6429
1076.6644,144.6516
1086.9625,170.4854
1095.6726,175.1512
1123.1944,25.2265
1193.2163,32.2697
1213.9092,23.3587
1269.5121,110.4352
1356.7944,21.5869
1390.1468,388.5375
1393.5475,8.2493
1450.4253,11.3792
3358.4018,126.2050
3390.2878,467.5232
3396.4207,204.9086
3398.0868,100.1318
3399.0869,109.5389
3408.8921,334.4513
3919.5579,277.8747
