Frequency(cm^-1),Intensity
-268.6819,0.7607
-255.6422,1.3891
-208.9445,0.1330
-185.2767,0.0985
-76.3360,0.0550
-64.0501,0.0433
-52.8314,0.0114
30.5618,0.0767
48.0343,0.0652
61.4279,0.0934
75.0512,0.0188
103.9678,0.6063
140.0975,0.0835
162.2361,0.4832
184.3643,0.5783
191.3584,0.8903
210.9222,1.9981
256.4855,0.1606
272.6802,0.2128
281.2184,0.2829
293.0832,0.6482
318.9727,1.2761
327.3558,5.5536
343.1480,0.8602
364.0031,1.2359
370.0828,4.0421
380.0085,0.5914
409.5281,6.4145
419.5108,0.5807
427.2151,2.2813
437.9344,2.5051
475.3450,1.0886
485.4962,0.3725
521.1631,4.9992
530.2432,0.5432
552.9035,6.8118
586.8070,0.7047
598.3398,0.2804
603.8317,0.1535
621.7124,2.8069
649.7330,0.1428
659.5865,0.3893
682.8404,1.6767
701.3204,1.2081
712.3003,1.9495
715.0130,2.0201
825.1992,8.3876
845.3565,1.9468
850.7782,2.2137
947.7368,2.3185
964.2075,1.0903
977.2721,0.7104
983.3168,1.9644
1005.1887,0.7923
1009.6818,0.7176
1021.0557,4.8977
1023.4958,0.5420
1028.2358,0.9377
1054.1054,4.0019
1069.3085,9.9988
1078.3515,9.5572
1083.5120,12.0797
1086.3663,0.9081
1100.6551,6.6054
1115.9285,2.6673
1117.6752,2.5052
1122.6397,4.5338
1133.9589,3.9109
1143.1297,3.8706
1144.8870,2.7015
1152.6233,2.7434
1156.4609,3.7433
1172.9090,2.5882
1186.7429,1.5096
1188.6421,2.7038
1212.7342,3.3883
1225.1607,3.8311
1240.1778,3.4946
1251.1976,3.9906
1252.2365,3.7201
1257.4149,1.6223
1264.9048,1.4673
1285.9964,2.0362
1291.6358,1.4070
1297.8486,2.9780
1303.0377,2.6299
1306.5781,3.1387
1326.1772,10.0376
1333.1601,5.7475
1334.2815,1.1334
1355.7745,2.6652
1357.5893,5.1143
1359.7489,10.6830
1365.1132,4.7431
1376.9423,2.9421
1380.2325,0.5296
1398.8908,1.0873
1399.9573,9.1406
1413.6660,4.0868
1415.0979,5.3300
1439.1876,4.9148
1451.1887,2.4637
1463.5193,1.1265
1464.4123,6.1402
1471.7852,6.2426
1491.6736,2.1043
1519.3059,1.6875
3268.4477,8.5068
3269.9061,110.5617
3274.3818,93.9009
3276.0103,90.0137
3282.6913,126.6411
3285.4354,19.6530
3288.9680,96.3553
3291.0975,50.1381
3293.2579,162.6415
3296.3740,34.8390
3298.5530,70.3623
3306.5934,37.6385
3314.6326,34.6200
3337.6633,55.6493
3342.2884,47.9872
3378.6401,73.5818
3387.6751,105.0624
3389.5078,52.2563
3391.5437,170.8027
3397.0607,85.3338
3905.4019,95.6239
3916.4339,125.4635
