Frequency,Intensity
-452.0459,55.3381
-397.8888,17.1086
-183.9126,196.7897
-92.4153,88.3855
-49.8993,159.2032
53.1258,107.3419
89.9512,64.9339
100.9680,106.7862
104.5912,5.6292
123.6217,2.1706
141.3744,93.2562
154.9630,150.0018
177.2086,49.0908
185.0975,174.7995
199.9214,163.5861
208.1535,1.2045
227.1106,42.6963
240.8691,16.5499
269.4619,5.3042
275.1880,42.3319
290.2609,8.8492
299.9174,74.2038
305.3516,143.2301
335.2673,32.5515
342.4708,34.6357
358.7078,94.1351
362.4797,75.6754
380.7075,33.0990
402.0495,138.9441
421.3611,18.9520
448.4389,99.2300
462.9658,30.1615
493.2701,107.9809
522.2238,339.2086
547.4116,24.0061
557.6902,77.6044
568.4499,36.0388
582.9578,152.4514
599.0069,10.3007
617.2148,63.6688
630.1730,192.0102
656.1504,99.1367
660.4627,23.1498
668.9049,62.4285
685.1317,12.3467
699.1587,34.8801
723.6011,128.9251
732.3429,47.0343
761.8435,28.2177
787.9354,36.9306
803.4961,152.6523
815.1954,168.6137
839.8447,14.1969
851.5134,94.0812
864.0348,58.9960
868.5373,82.6801
888.4744,47.8257
920.2599,30.9010
944.8376,89.4088
953.9232,146.6882
981.0893,19.7159
990.1962,148.6347
1007.0003,159.9572
1023.1760,11.3155
1039.1309,245.1630
1055.6747,354.4129
1058.2152,118.9635
1072.7726,29.2510
1077.7846,50.4763
1099.0469,68.9677
1109.7349,24.5716
1143.4210,55.5827
1224.5880,26.0425
1233.3172,125.2872
1287.6136,30.3100
1297.6907,100.7146
1314.5559,25.1057
1355.0718,9.8917
1422.1373,41.8336
3273.9179,89.3483
3354.8992,1897.7816
3374.1615,542.3152
3382.0386,307.0169
3389.9911,298.4761
3405.9086,213.5053
3905.8132,502.3725
3927.5351,485.0775
