 0.000000,
 1.434897,0.000000,
 2.300341,1.519301,0.000000,
 2.963411,2.411680,1.434879,0.000000,
 2.757986,2.711334,2.000217,0.999675,0.000000,
 3.648960,2.500596,1.520245,2.335064,3.218007,0.000000,
 4.439339,3.598186,2.309726,3.012749,3.747832,1.434364,0.000000,
 4.836696,4.117563,2.654984,2.899213,3.560067,2.068481,1.000389,0.000000,
 2.968396,2.401579,3.776247,4.751523,5.068851,4.160377,5.305421,6.070911,0.000000,
 4.371555,3.780028,5.049068,6.073916,6.465933,5.153074,6.255223,7.109703,1.434826,0.000000,
 4.827673,4.340605,5.717053,6.602694,6.933815,5.915350,7.097823,7.909351,1.990723,1.000728,0.000000,
 2.424017,1.520075,2.504730,3.720334,4.155176,2.799322,3.823430,4.616292,1.519406,2.619198,3.409923,0.000000,
 3.685348,2.435141,2.924772,4.034235,4.736622,2.429443,3.533809,4.403809,2.314967,2.878985,3.708719,1.434691,0.000000,
 4.100154,2.889333,2.586333,3.711645,4.522502,1.519899,2.262273,3.193993,3.607317,4.252480,5.124635,2.316657,1.434464,0.000000,
 5.460198,4.169044,3.918754,4.852605,5.751401,2.608538,3.144539,3.995841,4.433457,4.703885,5.538685,3.443411,2.142290,1.435130,0.000000,
 6.537467,5.344738,5.176590,6.218347,7.084845,3.922986,4.171916,5.048856,5.189013,5.122674,5.986052,4.345772,3.113236,2.596349,1.434926,0.000000,
 7.096087,5.930065,6.115026,7.193156,8.024191,5.028026,5.514350,6.427803,5.132657,4.650938,5.408564,4.711181,3.509281,3.589129,2.538617,1.519988,0.000000,
 6.188091,5.109679,5.622502,6.753645,7.491015,4.829792,5.571409,6.525650,3.887201,3.245219,3.993315,3.765016,2.759744,3.380679,2.806783,2.401365,1.435086,0.000000,
 5.327945,4.174464,4.689719,5.780209,6.522024,3.937090,4.816184,5.747516,3.176683,2.849795,3.652042,2.918826,1.795181,2.564675,2.212823,2.355646,1.987654,0.999682,0.000000,
 8.293558,7.232037,7.378259,8.530523,9.338360,6.299165,6.564902,7.479226,6.323544,5.689715,6.435925,5.926079,4.866164,4.838205,3.836607,2.508243,1.519936,2.545220,3.338971,0.000000,
 8.942809,7.987782,8.339578,9.548879,10.299545,7.410103,7.760644,8.711159,6.696471,5.801988,6.435227,6.568204,5.673471,5.903343,5.050011,3.828367,2.593773,3.046599,4.013747,1.434733,0.000000,
 8.554293,7.725470,8.174996,9.453452,10.133968,7.398649,7.759818,8.739601,6.301752,5.362312,6.003662,6.247195,5.545972,5.879218,5.247755,4.133542,2.975748,3.032497,3.979970,2.070966,1.000525,0.000000,
 7.799277,6.626577,5.936529,6.710437,7.620427,4.483485,4.123389,4.681966,7.124699,7.303399,8.173555,6.007473,4.855252,3.773712,2.769166,2.322250,3.613109,4.713107,4.590294,4.059934,5.487427,5.956034,0.000000,
 9.055529,7.884708,7.060159,7.671775,8.586444,5.590772,5.072313,5.417856,8.516486,8.709402,9.559645,7.379034,6.223958,5.099207,4.114034,3.697053,4.839916,6.045376,5.963666,5.085251,6.480652,7.054615,1.434680,0.000000,
 9.509293,8.266063,7.465753,7.949360,8.897993,5.960916,5.585932,5.865867,8.889071,9.061846,9.854191,7.823476,6.587397,5.546073,4.459035,4.146971,5.162587,6.383231,6.286411,5.489440,6.871455,7.530479,2.100024,1.000524,0.000000,
 7.854548,6.602592,6.244549,7.104480,8.034452,4.826592,4.881395,5.592690,6.608543,6.521997,7.326954,5.756710,4.454731,3.776342,2.442593,1.520280,2.334615,3.605468,3.681425,2.834668,4.257235,4.839353,1.519801,2.542592,2.836546,0.000000,
 9.010478,7.821765,7.522403,8.463068,9.369527,6.152216,6.097027,6.819685,7.592666,7.311808,8.109773,6.830204,5.589844,5.002210,3.739008,2.493371,2.730703,4.154407,4.531802,2.400213,3.693900,4.414947,2.363322,2.915147,3.247302,1.434633,0.000000,
 9.350182,8.186450,8.142844,9.165718,10.046973,6.880039,7.026435,7.839970,7.524456,6.978005,7.695717,7.020123,5.810125,5.557167,4.317508,2.972759,2.402125,3.737118,4.389242,1.520322,2.498464,3.373780,3.688915,4.343390,4.592249,2.442536,1.435507,0.000000,
 10.607074,9.499483,9.418236,10.474373,11.343098,8.160546,8.166559,8.956940,8.800317,8.189719,8.902514,8.294888,7.150859,6.843992,5.656076,4.266027,3.747481,4.996327,5.723366,2.515994,2.951902,3.810991,4.601232,4.964422,5.236216,3.626481,2.282855,1.434292,0.000000,
 11.259894,10.096968,9.943563,10.919097,11.821254,8.613523,8.593069,9.322271,9.497197,8.921352,9.613811,8.963105,7.749477,7.377612,6.108082,4.786132,4.375329,5.691054,6.361577,3.323532,3.821135,4.724086,4.774550,4.880357,5.007235,3.874170,2.510596,1.974016,0.960000,0.000000,
 0.960000,1.974554,2.545473,2.714595,2.236122,4.012513,4.781661,4.999785,3.718969,5.141518,5.495805,3.255629,4.394221,4.730285,6.078381,7.251535,7.869998,6.996598,6.095397,9.120306,9.815736,9.461741,8.369509,9.561148,9.967238,8.496203,9.713732,10.115272,11.398269,12.014891,0.000000,
