Frequency(cm^-1),Intensity
-321.3460,0.0758
-290.1785,1.5678
-203.4054,0.0765
-160.7540,0.6916
-75.5340,0.2500
-61.4181,0.0363
-42.4832,0.0246
-7.6700,0.1049
36.7094,0.0671
59.9642,0.0655
64.3404,0.0307
100.3056,0.3679
117.8935,0.1921
143.2652,0.5868
162.6267,0.1393
182.7662,0.7981
225.3404,2.2137
237.3054,1.0064
243.3830,0.6335
261.6685,0.1471
277.6991,0.1095
300.5715,0.5500
318.1073,0.3931
336.9597,5.3202
354.2594,0.7951
368.1074,3.0927
381.6009,2.4087
400.1247,1.5725
400.8779,4.7252
428.0002,1.3312
461.4388,1.3828
472.0560,1.9210
502.9270,3.8249
526.3258,3.3139
544.1183,5.9397
557.4489,1.0732
575.6334,0.8446
583.2373,0.3793
609.5314,0.3948
624.1648,0.7642
642.5051,0.4684
660.0368,1.4280
683.8003,2.5965
705.5562,2.1708
716.4359,2.5443
739.6450,1.5684
747.6085,2.8163
828.9233,3.4414
838.7829,3.3190
880.4009,1.1148
943.0648,1.5077
953.8061,1.6725
988.2990,2.8518
1002.1318,0.9345
1008.7926,1.3814
1018.9238,1.8723
1026.3403,4.0471
1035.7756,2.6305
1040.0546,1.4826
1059.2380,12.3570
1067.0426,2.1071
1071.8202,2.7588
1078.1183,2.0488
1081.3280,11.8764
1100.4811,6.3409
1114.1338,3.8279
1120.7843,6.5800
1134.5308,3.3754
1144.3446,4.5482
1152.2693,1.0704
1158.4676,3.3467
1169.2564,1.9105
1176.5741,3.1231
1182.5777,2.1901
1194.6664,1.5258
1208.4069,3.6715
1210.9429,3.1230
1231.5307,2.4459
1239.2988,2.6463
1243.4115,3.1583
1245.1112,3.2080
1261.6695,3.7565
1269.0098,5.1020
1280.9360,2.8095
1284.7459,4.7191
1304.0081,1.9453
1305.8468,2.0827
1315.8602,0.7331
1324.3630,10.1025
1330.5920,1.9149
1345.3847,5.5138
1351.4648,6.8986
1357.4092,3.1290
1366.2032,0.4045
1375.1867,2.8301
1389.3694,13.5995
1398.2713,5.1267
1401.7011,2.3746
1412.4912,2.7321
1425.0961,5.3224
1427.6539,1.7676
1443.6796,5.4145
1454.2326,1.4062
1464.0081,1.4005
1467.3789,4.6004
1475.1520,3.9753
1550.3181,1.6949
3262.4150,129.5134
3268.3881,80.4745
3268.4739,16.9731
3273.4259,145.5234
3280.5957,29.3543
3292.8137,39.5447
3294.3860,122.3507
3299.6901,25.3968
3302.7684,142.3598
3305.8466,21.8951
3314.0844,8.3523
3315.5561,51.5030
3319.6408,25.0145
3336.2637,49.8122
3370.3238,80.0548
3382.2656,89.9860
3390.1265,133.7776
3392.1455,91.5525
3394.8326,155.0830
3400.7176,124.8397
3912.6243,103.3609
3918.1603,139.8579
