Frequency,Intensity
-496.8927,73.7234
-443.6965,328.0820
-296.2177,499.6227
-83.3330,336.7037
47.2103,5.8731
83.3233,4.5297
92.0052,9.8475
118.4141,51.3978
138.8140,12.7582
144.7208,4.4327
149.4321,92.9290
159.9678,23.6183
186.4484,12.9437
194.6457,38.6201
212.3246,16.1307
240.7860,47.3898
242.4815,27.0102
258.2575,77.6829
270.9752,125.7117
299.2717,22.2717
302.4391,29.6310
307.0379,6.6439
310.0878,51.8515
331.4115,306.7428
342.0752,18.1254
366.2025,38.8130
373.0131,42.3565
406.5045,162.7430
422.7927,38.1642
434.9834,125.2458
454.2830,337.0005
471.1355,63.3910
488.9699,81.7266
502.7074,56.3291
542.7100,83.2215
546.5315,59.8242
574.0361,146.0315
593.9767,34.0392
596.8198,76.3676
619.7524,60.2333
636.1230,17.6686
669.7697,57.6377
671.8090,63.6284
686.9339,54.0899
694.5795,318.2876
722.1621,96.3447
738.8525,75.6643
768.6435,69.9421
772.5325,142.1741
791.9082,103.3681
818.3336,34.7887
828.1159,5.0512
855.6711,81.4192
861.1705,19.7890
870.8596,31.5710
887.6102,27.5538
914.1839,42.0978
933.4357,169.3152
941.1418,295.9042
957.0762,321.0573
960.3282,251.4704
974.5419,174.6154
1013.6984,179.3486
1036.1701,233.5481
1040.1054,108.9166
1048.9156,32.2006
1062.0599,66.5164
1071.5528,103.5012
1086.8996,44.6241
1099.6967,81.8338
1123.6928,18.7302
1216.6092,133.5635
1230.4277,43.7923
1237.0973,168.5687
1310.8835,84.6126
1334.9483,36.0798
1357.5406,46.3919
1427.7657,30.3046
1495.7136,60.0141
3258.5141,29.0464
3388.8428,137.8042
3395.8925,347.0337
3397.2113,410.1371
3399.5830,374.7105
3405.5071,200.3466
3904.6100,537.4894
3922.7985,586.6800
